restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HART LOUNGE,Shawarma Roll,,80,,,,5,30,Non Veg,,,,,01:00PM,10:30PM,,,"1,2,3,4,5,6,7",1,,Shawarma Rolls,,1,,4,1
HART LOUNGE,Mexican Shawarma Roll,,90,,,,5,30,Non Veg,,,,,01:00PM,10:30PM,,,"1,2,3,4,5,6,7",1,,Shawarma Rolls,,0,,4,2
HART LOUNGE,Special Shawarma Roll,,100,,,,5,30,Non Veg,,,,,01:00PM,10:30PM,,,"1,2,3,4,5,6,7",1,,Shawarma Rolls,,0,,4,3
HART LOUNGE,Mexican Special Shawarma Roll,,110,,,,5,30,Non Veg,,,,,01:00PM,10:30PM,,,"1,2,3,4,5,6,7",1,,Shawarma Rolls,,0,,4,4
HART LOUNGE,Shawarma Plate,,90,,,,5,30,Non Veg,,,,,01:00PM,10:30PM,,,"1,2,3,4,5,6,7",1,,Shawarma Plates,,0,,3,1
HART LOUNGE,Mexican Shawarma Plate,,100,,,,5,30,Non Veg,,,,,01:00PM,10:30PM,,,"1,2,3,4,5,6,7",1,,Shawarma Plates,,0,,3,2
HART LOUNGE,Special Shawarma Plate,,110,,,,5,30,Non Veg,,,,,01:00PM,10:30PM,,,"1,2,3,4,5,6,7",1,,Shawarma Plates,,0,,3,3
HART LOUNGE,Mexican Special Shawarma Plate,,120,,,,5,30,Non Veg,,,,,01:00PM,10:30PM,,,"1,2,3,4,5,6,7",1,,Shawarma Plates,,0,,3,4
HART LOUNGE,Extra Kuboos,,10,,,,5,30,Non Veg,,,,,01:00PM,10:30PM,,,"1,2,3,4,5,6,7",1,,Shawarma Plates,,0,,3,5
HART LOUNGE,Grill Shavaya Chicken (Half),,230,,,,5,30,Veg,,,,,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Arabian Starters,,0,,2,1
HART LOUNGE,Grill Shavaya Chicken (Full),,450,,,,5,30,Non Veg,,,,,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Arabian Starters,,1,,2,2
HART LOUNGE,Bbq Spicy Chicken (Half),,250,,,,5,30,Non Veg,,,,,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Arabian Starters,,0,,2,3
HART LOUNGE,Bbq Spicy Chicken (Full),,480,,,,5,30,Non Veg,,,,,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Arabian Starters,,0,,2,4
HART LOUNGE,Afgani Bbq Chicken (Half),,260,,,,5,30,Non Veg,,,,,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Arabian Starters,,0,,2,5
HART LOUNGE,Afgani Bbq Chicken (Full),,500,,,,5,30,Non Veg,,,,,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Arabian Starters,,0,,2,6
HART LOUNGE,Alfaham Dajai (Half),,250,,,,5,30,Non Veg,,,,,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Arabian Starters,,0,,2,7
HART LOUNGE,Alfaham Dajai (Full),,480,,,,5,30,Non Veg,,,,,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Arabian Starters,,1,,2,8
HART LOUNGE,Extra Mayo,,10,,,,5,30,Non Veg,,,,,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Arabian Starters,,0,,2,9
HART LOUNGE,Bbq Fish Plate,,240,,,,5,30,Non Veg,,,,,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Fish Starters,,0,,5,1
HART LOUNGE,Alfaham Fish Plate,,240,,,,5,30,Non Veg,,,,,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Fish Starters,,0,,5,2
HART LOUNGE,Bbq Paneer Tikka,,100,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,1,,1,1
HART LOUNGE,Paneer Manjurian,,90,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,2
HART LOUNGE,Paneer Chilly Dry,,90,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,3
HART LOUNGE,Paneer 65,,90,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,4
HART LOUNGE,Mushroom Chilly Dry,,90,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,5
HART LOUNGE,Mushroom 65,,90,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,6
HART LOUNGE,Gobi Manchurian Dry,,90,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,7
HART LOUNGE,Gobi 65,,90,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,8
HART LOUNGE,Chilly Chicken Dry,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,9
HART LOUNGE,Chicken Lollypop Dry,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,10
HART LOUNGE,Chicken 65,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,11
HART LOUNGE,Garlic Chicken,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,12
HART LOUNGE,Ginger Chicken,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,13
HART LOUNGE,Dream Chicken Dry,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,14
HART LOUNGE,Schezwan Chicken Dry,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,15
HART LOUNGE,Lemon Chicken Dry,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,16
HART LOUNGE,Pepper Chicken Dry,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,17
HART LOUNGE,Packet Chicken Dry,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,18
HART LOUNGE,Crispy Chicken Dry,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,19
HART LOUNGE,French Fries,,50,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,20
HART LOUNGE,Potato Veggies,,50,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,1,,1,21
HART LOUNGE,Smileys,,40,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,22
HART LOUNGE,Spicy French Fries,,55,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,23
HART LOUNGE,Veg Fried Rice,,70,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,6,1
HART LOUNGE,Gobi Fried Rice,,80,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,6,2
HART LOUNGE,Paneer Fried Rice,,90,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,6,3
HART LOUNGE,Mushroom Fried Rice,,80,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,6,4
HART LOUNGE,Mix Fried Rice,,80,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,6,5
HART LOUNGE,Veg Schezwan Fried Rice,,80,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,6,6
HART LOUNGE,Egg Fried Rice,,70,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,6,7
HART LOUNGE,Chicken Fried Rice,,100,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,1,,6,8
HART LOUNGE,Schezwan Chicken Fried Rice,,120,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,6,9
HART LOUNGE,Veg Spicy Arrabiata Pasta,,120,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,7,1
HART LOUNGE,Veg Cream Cheese Pasta,,120,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,7,2
HART LOUNGE,Chicken Spicy Arrabiata Pasta,,140,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,1,,7,3
HART LOUNGE,Chicken Cream Cheese Pasta,,160,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Pastas,,0,,7,4
HART LOUNGE,Veg Burger,,40,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,8,1
HART LOUNGE,Veg Cheese Burger,,50,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,8,2
HART LOUNGE,Veg Fries Burger,,60,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,8,3
HART LOUNGE,Bbq Burger,,60,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,8,4
HART LOUNGE,Veg Doouble Patty Burger,,70,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,8,5
HART LOUNGE,Extra Cheese,,10,,,,5,30,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,8,6
HART LOUNGE,Chicken Burger,,50,,,,5,30,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,1,,8,7
