restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL HEMALA,Green Salad,,126,,,,10.5,0,Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,,1,1
HOTEL HEMALA,Fried Noodles Salad,,126,,,,10.5,0,Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,,1,2
HOTEL HEMALA,Tossed Salad,,126,,,,10.5,0,Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,,1,3
HOTEL HEMALA,Paneer Tikka Salad,,126,,,,10.5,0,Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,,1,4
HOTEL HEMALA,Coleslaw Salad,,126,,,,10.5,0,Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,,1,5
HOTEL HEMALA,Chicken Tikka Salad,,126,,,,10.5,0,Non Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,,1,6
HOTEL HEMALA,Special Veg Soup,,157.5,,,,10.5,0,Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Veg,,0,,2,1
HOTEL HEMALA,Hot & Sour Veg Soup,,157.5,,,,10.5,0,Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Veg,,0,,2,2
HOTEL HEMALA,Veg Manchow Soup,,157.5,,,,10.5,0,Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Veg,,0,,2,3
HOTEL HEMALA,Tom Yum Veg Soup,,157.5,,,,10.5,0,Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Veg,,0,,2,4
HOTEL HEMALA,Sweet Corn Veg Soup,,157.5,,,,10.5,0,Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Veg,,0,,2,5
HOTEL HEMALA,Veg Clear Soup,,157.5,,,,10.5,0,Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Veg,,0,,2,6
HOTEL HEMALA,Kozhi Rasam,,157.5,,,,10.5,0,Non Veg,,,,,11:30AM,03:00PM,06:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Non - Veg,,0,,3,1
