restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
CHICKENS CITY,Fried Chicken ,,62,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken ,,0,
CHICKENS CITY,Chicken Pedas (3 Pcs),,185,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken ,,0,
CHICKENS CITY,Strip Bunch,,360,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken ,,0,
CHICKENS CITY,Spicy Pops (Mini),,70,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken ,,0,
CHICKENS CITY,Chilly Garlic Wings (3 Pcs),,80,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken ,,0,
CHICKENS CITY,Spicy Wings (3 Pcs),,80,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken ,,0,
CHICKENS CITY,Chicken Pops (Regular),,90,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken ,,0,
CHICKENS CITY,Chicken Pop (Large),,145,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken ,,0,
CHICKENS CITY,Strips (4 Pcs),,100,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken ,,0,
CHICKENS CITY,Lolly Pops (4 Pcs),,110,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken ,,0,
CHICKENS CITY,Multi Wings (3 Full Wings),,185,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Chicken ,,0,
CHICKENS CITY,Veg Burger ,,80,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
CHICKENS CITY,Student Veg-Burger ,,60,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
CHICKENS CITY,Veg Salad Burger ,,60,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
CHICKENS CITY,Mexcian Burger (Veg),,95,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
CHICKENS CITY,Tower Burger (Veg),,120,10,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
CHICKENS CITY,Chicken Burger ,,100,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
CHICKENS CITY,Student Chicken Burger ,,70,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
CHICKENS CITY,Tower Burger (Non-Veg),,130,10,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,
