restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL EMERALD INN,Romali Roti,,30,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,1
HOTEL EMERALD INN,Chicken Bartha,,150,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,2
HOTEL EMERALD INN,Naan,,20,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,3
HOTEL EMERALD INN,Butter Naan,,25,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,4
HOTEL EMERALD INN,Chappati,,16,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,5
HOTEL EMERALD INN,Butter Roti,,20,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,6
HOTEL EMERALD INN,Kulcha,,20,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,7
HOTEL EMERALD INN,Fulkha,,15,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,8
HOTEL EMERALD INN,Chicken Tikka,,150,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,9
HOTEL EMERALD INN,Paneer Tikka,,100,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,10
HOTEL EMERALD INN,Tandoori Roti,,16,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,11
HOTEL EMERALD INN,Chilli Paratha,,40,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,12
HOTEL EMERALD INN,Aloo Paratha,,40,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Breads,,0,,9,13
