restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL HEMALA,Chicken Varutha Curry Gravy,,220.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,1
HOTEL HEMALA,Chilli Fish Gravy,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,2
HOTEL HEMALA,Egg Burji Masala,,178.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,3
HOTEL HEMALA,Garlic Chicken Gravy,,220.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,4
HOTEL HEMALA,Egg Masala ,,178.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,5
HOTEL HEMALA,Fish Curry,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,6
HOTEL HEMALA,Fish Chettinadu Gravy,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,7
HOTEL HEMALA,Fish Kozhambu,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,8
HOTEL HEMALA,Fish Manchurian Gravy,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,9
HOTEL HEMALA,Garlic Fish Gravy,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,10
HOTEL HEMALA,Garlic Prawn Gravy,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,11
HOTEL HEMALA,Mutton Curry Gravy,,241.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,12
HOTEL HEMALA,Mutton Chettinadu Gravy,,241.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,13
HOTEL HEMALA,Malabar Fish Curry ,,241.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,14
HOTEL HEMALA,Mutton Hyderabadi Gravy,,241.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,15
HOTEL HEMALA,Mutton Kothu Curry Gravy,,241.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,16
HOTEL HEMALA,Mutton Varutha Curry Gravy,,241.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,17
HOTEL HEMALA,Prawn Curry Gravy,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,18
HOTEL HEMALA,Prawn Chettinadu Gravy,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,19
HOTEL HEMALA,Pepper Chicken Masala,,220.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,20
HOTEL HEMALA,Prawn Masala,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,21
HOTEL HEMALA,Prawn Manchurian Gravy,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,22
HOTEL HEMALA,Prawn Varutha Curry ,,294,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,23
HOTEL HEMALA,Sherd Chicken Green Chilly Gravy,,220.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,24
HOTEL HEMALA,Sherd Chicken Red Chilly Gravy,,220.5,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Non Veg Main Courses,,0,,5,25
