restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL HEMALA,Kozhi Rasam,,126,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
HOTEL HEMALA,Sweet Vegetable Soup,,126,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
HOTEL HEMALA,Cream Of Tomato Soup,,126,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
HOTEL HEMALA,Cream Of Vegetable Soup,,126,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
HOTEL HEMALA,Cream Of Mushroom Soup,,126,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
HOTEL HEMALA,Cream Of Chicken Soup,,126,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,6
HOTEL HEMALA,Hot & Sour Vegetable  Soup,,126,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,7
HOTEL HEMALA,Hot & Sour Chicken Soup,,126,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,8
HOTEL HEMALA,Manchow Vegetable Soup,,126,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,9
HOTEL HEMALA,Manchow Chicken Soup,,126,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,10
HOTEL HEMALA,Tom Yum Vegetable Soup,,126,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,11
HOTEL HEMALA,Tom Yum Chicken Soup,,126,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,12
HOTEL HEMALA,Sweet Corn Vegetable Soup,,126,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,13
HOTEL HEMALA,Sweet Corn Chicken Soup,,126,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,14
HOTEL HEMALA,Clear Vegetable Soup,,126,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,15
HOTEL HEMALA,Clear Chicken Soup,,126,,,,10,0,Non Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,16
HOTEL HEMALA,Paneer Fingers,,178.5,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,1
HOTEL HEMALA,Paneer 65,,178.5,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,2
HOTEL HEMALA,Paneer Pepper Fry,,178.5,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,3
HOTEL HEMALA,Paneer Chilly,,178.5,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,4
HOTEL HEMALA,Paneer Manchurian,,178.5,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,5
HOTEL HEMALA,Paneer Pepper & Salt,,178.5,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,6
HOTEL HEMALA,Mushroom 65,,178.5,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,7
HOTEL HEMALA,Mushroom Pepper Fry,,178.5,,,,10,0,Veg,,,,,01:00PM,03:00PM,07:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,8
