restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL NALA,Prawn Roll (6 Nos),,200,,,,20,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,1
HOTEL NALA,Prawn Butterfly (6 Nos),,175,,,,17.5,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,2
HOTEL NALA,Prawn Cutlet (2 Nos),,160,,,,16,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,3
HOTEL NALA,Prawn Torpedo (6 Nos),,180,,,,18,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,4
HOTEL NALA,Basha Fish (1 Nos),,200,,,,20,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,5
HOTEL NALA,Fish Popcorn (10 Nos),,160,,,,16,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,6
HOTEL NALA,Crab Cutlet (2 Nos),,150,,,,15,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,7
HOTEL NALA,Pomfret Fish White ,,200,,,,20,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,8
HOTEL NALA,Pomfret Fish Black,,250,,,,25,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,9
HOTEL NALA,Pomfret Fish Tandoori,,255,,,,25.5,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,10
HOTEL NALA,Crab Lolypop,,170,,,,17,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,11
HOTEL NALA,Finger Fish,,160,,,,16,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,12
HOTEL NALA,Chilli Fish ,,150,,,,15,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Nala Special,,0,,1,13
HOTEL NALA,Special Kuska,,90,,,,9,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Biriyani,,0,,2,1
HOTEL NALA,Nala Special Mughlai Chicken Biriyani,,230,,,,23,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Biriyani,,0,,2,2
HOTEL NALA,Shanghai Chicken Fried Rice,,150,,,,15,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Fried Rice,,0,,2,3
HOTEL NALA,Shanghai Mutton Fried Rice,,170,,,,17,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Fried Rice,,0,,2,4
HOTEL NALA,Shanghai Mixed Non Veg Fried Rice,,190,,,,19,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Fried Rice,,0,,2,5
HOTEL NALA,American Chopsuey Non Veg,,160,,,,16,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,American Dishes,,0,,3,1
HOTEL NALA,Punjabi Chicken Fry,,135,,,,13.5,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Punjabi Dishes,,0,,4,1
HOTEL NALA,Punjabi Mutton Fry,,150,,,,15,,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Punjabi Dishes,,0,,4,2
HOTEL NALA,Shahaja Milk Shake,,110,,,,11,,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Ice Creams,,0,,5,1
HOTEL NALA,Nala Shaihaja Milk Shake,,140,,,,14,,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Special Ice Creams,,0,,5,2
