restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Idly (2 Pcs),,35,,,,,0,Veg,,,08:00AM,10:00AM,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,1
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Pongal,,69,,,,,0,Veg,,,08:00AM,10:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,2
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Roast,,66,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,7
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Ghee Roast,,83,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,8
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Masal Roast,,83,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,9
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Butter Roast,,85,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,10
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Onion Roast,,83,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,11
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Uthappam,,69,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,5,1
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Onion Uthappam,,81,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,5,2
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Rava Roast,,75,,,,,0,Veg,,,08:00AM,10:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,5,6
