restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Idly (2 Pcs),,35,,,,,0,Veg,,,07:30AM,11:00AM,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,1
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Pongal,,69,,,,,0,Veg,,,07:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,2
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Vadai,,22,,,,,0,Veg,,,07:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,3
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Poori Masal,,69,,,,,0,Veg,,,07:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,4
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Sambar Idly,,52,,,,,0,Veg,,,07:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,5
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Sambar Vadai,,46,,,,,0,Veg,,,07:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,4,6
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Roast,,66,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,7
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Ghee Roast,,83,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,8
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Masal Roast,,83,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,9
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Butter Roast,,85,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,10
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Onion Roast,,83,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,11
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Ghee Masal Roast,,90,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,12
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Ghee Onion Roast,,90,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast & Uthappam,,0,,4,13
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Uthappam,,69,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,5,1
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Onion Uthappam,,81,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,5,2
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Tomato Uthappam,,81,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,5,3
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Veg Uthappam,,81,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,5,4
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Ghee Uthappam,,81,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,5,5
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Rava Roast,,75,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,5,6
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Butter Rava,,81,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,5,7
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Onion Rava Roast,,81,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,5,8
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Ghee Rava Roast,,81,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,5,9
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Ghee Rava Masal,,87,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,5,10
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Ghee Rava Onion,,87,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,5,11
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Masal Rava Roast,,81,,,,,0,Veg,,,07:30AM,11:00AM,,,03:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,7,1
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Curd Rice,,69,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,7,2
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Sambar Rice,,75,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,7,2
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Veg.Briyani,,75,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,7,4
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Full Meals Parcel,,115,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,7,5
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,V I P Special Meals,,161,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,1,3
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Parotta With Kuruma ,,35,,,,,0,Veg,,,,,11:30AM,03:30PM,03:45PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Chappathi 1pc,,46,,,,,0,Veg,,,,,11:30AM,03:30PM,03:45PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,2
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Chilli Parotta,,75,,,,,0,Veg,01:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,4
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Japan Crispy Parotta,,87,,,,,0,Veg,01:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,5
HOTEL SANGEETHA VEG - HOTEL VALLUVAR,Veg Kothu Parotta,,81,,,,,0,Veg,01:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,6
