restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL SRI AANANDHA BHAVAN,Idly 2 Pcs,,44,,,,0,0,veg,08:00AM,10:00AM,,,,,06:00PM,09:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
HOTEL SRI AANANDHA BHAVAN,Sambar Idly 2 Pcs,,65,,,,0,0,veg,08:00AM,10:00AM,,,,,06:00PM,09:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,2
HOTEL SRI AANANDHA BHAVAN,Vadai 2 Pcs,,44,,,,0,0,veg,08:00AM,10:00AM,,,,,06:00PM,09:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,3
HOTEL SRI AANANDHA BHAVAN,Sambar Vadai 2 Pcs,,72,,,,0,0,veg,08:00AM,10:00AM,,,,,06:00PM,09:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,4
HOTEL SRI AANANDHA BHAVAN,Curd Vadai 2 Pcs,,87,,,,0,0,veg,08:00AM,10:00AM,,,,,06:00PM,09:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,5
HOTEL SRI AANANDHA BHAVAN,Pongal,,72,,,,0,0,veg,08:00AM,10:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,6
HOTEL SRI AANANDHA BHAVAN,Poori 2 Pcs,,80,,,,0,0,veg,08:00AM,10:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,7
HOTEL SRI AANANDHA BHAVAN,Chola Poori,,144,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,8
HOTEL SRI AANANDHA BHAVAN,Chappathi 2 Pcs,,72,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,9
HOTEL SRI AANANDHA BHAVAN,Wheat Uppuma + Curd,,108,,,,0,0,veg,08:00AM,10:00AM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,10
HOTEL SRI AANANDHA BHAVAN,Roast,,87,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,1
HOTEL SRI AANANDHA BHAVAN,Onion Roast,,116,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,2
HOTEL SRI AANANDHA BHAVAN,Masala Roast,,116,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,3
HOTEL SRI AANANDHA BHAVAN,Rava Roast,,100,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,4
HOTEL SRI AANANDHA BHAVAN,Onion Rava Roast,,123,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,5
HOTEL SRI AANANDHA BHAVAN,Ghee Roast,,115,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,6
HOTEL SRI AANANDHA BHAVAN,Mushroom Roast,,158,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,7
HOTEL SRI AANANDHA BHAVAN,Culiflower Roast,,158,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,8
HOTEL SRI AANANDHA BHAVAN,Podi Roast,,100,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,9
HOTEL SRI AANANDHA BHAVAN,Garlic Roast,,158,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,10
HOTEL SRI AANANDHA BHAVAN,Panner Masal Roast,,159,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,11
HOTEL SRI AANANDHA BHAVAN,Sola Dosai,,65,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,12
HOTEL SRI AANANDHA BHAVAN,Kambu Dosai,,65,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,13
HOTEL SRI AANANDHA BHAVAN,Ragi Dosai,,65,,,,0,0,veg,08:00AM,10:00AM,,,,,04:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Dosas,,0,,2,14
