restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL SURULI PALLAZZIO,Manchow Soup,,117,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Veg,,0,,1,1
HOTEL SURULI PALLAZZIO,Sweet Corn Soup,,117,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Veg,,0,,1,2
HOTEL SURULI PALLAZZIO,Hot & Sour Soup,,117,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Veg,,0,,1,3
HOTEL SURULI PALLAZZIO,Manchow Chicken Soup,,126,,,,0,0,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Non Veg,,0,,2,1
HOTEL SURULI PALLAZZIO,Sweet Corn Chicken Soup,,126,,,,0,0,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Non Veg,,0,,2,2
HOTEL SURULI PALLAZZIO,Hot & Sour Chicken Soup,,126,,,,0,0,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Non Veg,,0,,2,3
HOTEL SURULI PALLAZZIO,Kozhi Malli Rasam,,126,,,,0,0,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Non Veg,,0,,2,4
HOTEL SURULI PALLAZZIO,Nanjelumbu Saaru,,126,,,,0,0,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soup Non Veg,,0,,2,5
HOTEL SURULI PALLAZZIO,Green Salad,,99,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salad Veg,,0,,3,1
HOTEL SURULI PALLAZZIO,Tossed Salad,,99,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salad Veg,,0,,3,2
HOTEL SURULI PALLAZZIO,Hawwain Salad,,99,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salad Veg,,0,,3,3
HOTEL SURULI PALLAZZIO,Chicken Hawwain Salad,,126,,,,0,0,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salad Non Veg,,0,,4,1
HOTEL SURULI PALLAZZIO,Chicken Tikka Salad,,126,,,,0,0,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salad Non Veg,,0,,4,2
HOTEL SURULI PALLAZZIO,Manchurian Sauce Gobi,,180,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters Veg,,0,,5,1
HOTEL SURULI PALLAZZIO,Manchurian Sauce Paneer,,180,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters Veg,,0,,5,2
HOTEL SURULI PALLAZZIO,Manchurian Sauce Baby Corn,,180,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters Veg,,0,,5,3
HOTEL SURULI PALLAZZIO,Manchurian Sauce Mushroom,,180,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters Veg,,0,,5,4
HOTEL SURULI PALLAZZIO,Schezwan Sauce Gobi,,180,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters Veg,,0,,5,5
HOTEL SURULI PALLAZZIO,Schezwan Sauce Paneer,,180,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters Veg,,0,,5,6
HOTEL SURULI PALLAZZIO,Schezwan Sauce Baby Corn,,180,,,,0,0,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Starters Veg,,0,,5,7
