restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL VALLUVAR (Pure Veg),Idly 2 Pcs,,40,,,,,0,Veg,,,07:30AM,11:00AM,,,05:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
HOTEL VALLUVAR (Pure Veg),Pongal,,80,,,,,0,Veg,,,07:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,2
HOTEL VALLUVAR (Pure Veg),Vadai 1 Pc,,20,,,,,0,Veg,,,07:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,3
HOTEL VALLUVAR (Pure Veg),Poori Masal Set,,80,,,,,0,Veg,,,07:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,4
HOTEL VALLUVAR (Pure Veg),Sambar Idly,,60,,,,,0,Veg,,,07:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,5
HOTEL VALLUVAR (Pure Veg),Sambar Vadai,,40,,,,,0,Veg,,,07:30AM,11:00AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,6
HOTEL VALLUVAR (Pure Veg),Parotta with Kuruma ,,35,,,,,0,Veg,,,,,11:30AM,03:30PM,03:45PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,7
HOTEL VALLUVAR (Pure Veg),Chappathi 1 Pc with Kurma,,50,,,,,0,Veg,,,,,11:30AM,03:30PM,03:45PM,10:30PM,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,8
HOTEL VALLUVAR (Pure Veg),Chilli Parotta,,95,,,,,0,Veg,01:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,9
HOTEL VALLUVAR (Pure Veg),Japan Crispy Parotta,,100,,,,,0,Veg,05:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,10
HOTEL VALLUVAR (Pure Veg),Veg Kothu Parotta,,95,,,,,0,Veg,01:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,11
HOTEL VALLUVAR (Pure Veg),Mini Chilli Idly,,95,,,,,0,Veg,05:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,12
HOTEL VALLUVAR (Pure Veg),Plain Roast,,75,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast Items,,0,,2,1
HOTEL VALLUVAR (Pure Veg),Ghee Roast,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast Items,,0,,2,2
HOTEL VALLUVAR (Pure Veg),Podi Roast,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast Items,,0,,2,3
HOTEL VALLUVAR (Pure Veg),Masal Roast,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast Items,,0,,2,4
HOTEL VALLUVAR (Pure Veg),Butter Roast,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast Items,,0,,2,5
HOTEL VALLUVAR (Pure Veg),Onion Roast,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast Items,,0,,2,6
HOTEL VALLUVAR (Pure Veg),Ghee Masal Roast,,110,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast Items,,0,,2,7
HOTEL VALLUVAR (Pure Veg),Ghee Onion Roast,,110,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Roast Items,,0,,2,8
HOTEL VALLUVAR (Pure Veg),Uthappam,,75,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,3,1
HOTEL VALLUVAR (Pure Veg),Onion Uthappam,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,3,2
HOTEL VALLUVAR (Pure Veg),Ghee Onion Uthappam,,110,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,3,2
HOTEL VALLUVAR (Pure Veg),Tomato Uthappam,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,3,3
HOTEL VALLUVAR (Pure Veg),Veg Uthappam,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,3,4
HOTEL VALLUVAR (Pure Veg),Ghee Uthappam,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Uthappam,,0,,3,5
HOTEL VALLUVAR (Pure Veg),Rava Roast,,85,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,4,1
HOTEL VALLUVAR (Pure Veg),Butter Rava Roast,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,4,2
HOTEL VALLUVAR (Pure Veg),Onion Rava Roast,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,4,3
HOTEL VALLUVAR (Pure Veg),Ghee Rava Roast,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,4,4
HOTEL VALLUVAR (Pure Veg),Ghee Rava Masal Roast,,110,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,4,5
HOTEL VALLUVAR (Pure Veg),Ghee Rava Onion Roast,,110,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,4,6
HOTEL VALLUVAR (Pure Veg),Masal Rava Roast,,100,,,,,0,Veg,,,07:30AM,11:00AM,,,04:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Rava Items,,0,,4,7
HOTEL VALLUVAR (Pure Veg),Curd Rice,,85,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,5,1
HOTEL VALLUVAR (Pure Veg),Sambar Rice,,90,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,5,2
HOTEL VALLUVAR (Pure Veg),Full Meals Parcel,,140,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,5,3
HOTEL VALLUVAR (Pure Veg),Veg.Briyani,,100,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,6,1
HOTEL VALLUVAR (Pure Veg),Mushroom Briyani,,110,,,,,0,Veg,,,,,11:30AM,03:30PM,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,6,2
HOTEL VALLUVAR (Pure Veg),Veg Spring Roll,,138,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,1
HOTEL VALLUVAR (Pure Veg),Gobi 65,,145,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,2
HOTEL VALLUVAR (Pure Veg),Gobi Pepper Fry,,145,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,3
HOTEL VALLUVAR (Pure Veg),Gobi Manchuriyan,,145,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,4
HOTEL VALLUVAR (Pure Veg),Gobi Chettinadu Varuval,,127,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,5
HOTEL VALLUVAR (Pure Veg),Baby Corn 65,,150,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,6
HOTEL VALLUVAR (Pure Veg),Baby Corn Pepper Fry,,150,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,7
HOTEL VALLUVAR (Pure Veg),Baby Corn Manchurian,,150,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,8
HOTEL VALLUVAR (Pure Veg),Mushroom 65,,150,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,9
HOTEL VALLUVAR (Pure Veg),Mushroom Pepper Fry,,150,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,10
HOTEL VALLUVAR (Pure Veg),Mushroom Varuval,,150,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,11
HOTEL VALLUVAR (Pure Veg),Mushroom Machuriyan,,150,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,12
HOTEL VALLUVAR (Pure Veg),Mushroom Spring roll,,150,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,13
HOTEL VALLUVAR (Pure Veg),Paneer 65,,155,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,14
HOTEL VALLUVAR (Pure Veg),Paneer Pepper Fry,,155,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,15
HOTEL VALLUVAR (Pure Veg),Panner Machuriyan,,155,,,,,0,Veg,01:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry,,0,,7,16
