restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
WANGS KITCHEN,Garlic Soup,,79,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
WANGS KITCHEN,Hot & Sour Soup,,109,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
WANGS KITCHEN,Sweet Corn Soup,,109,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
WANGS KITCHEN,Spice Manchow Soup,,109,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
WANGS KITCHEN,Lung Fung Soup,,109,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
WANGS KITCHEN,Garlic Soup,,99,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
WANGS KITCHEN,Hot & Sour Soup,,129,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
WANGS KITCHEN,Sweet Corn Soup,,129,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
WANGS KITCHEN,Spice Manchow Soup,,129,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
WANGS KITCHEN,Lung Fung Soup,,129,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Soups,,0,
WANGS KITCHEN,Veg Spring Roll,,159,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
WANGS KITCHEN,Veg Fried Wonton,,159,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
WANGS KITCHEN,Veg Dragon Style ,,199,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
WANGS KITCHEN,Veg Singapore Chilli,,219,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
WANGS KITCHEN,Veg Salt & Pepper,,219,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
WANGS KITCHEN,Veg Szechwan,,219,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
WANGS KITCHEN,Veg Manchurian,,219,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
WANGS KITCHEN,Veg Chilly Style,,219,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,
WANGS KITCHEN,Chicken Spring Roll,,189,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
WANGS KITCHEN,Chicken Fried Wonton,,189,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
WANGS KITCHEN,Chicken Dragon Style ,,279,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
WANGS KITCHEN,Chicken Singapore Chilli,,279,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
WANGS KITCHEN,Chicken Salt & Pepper,,279,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
WANGS KITCHEN,Chicken Szechwan,,279,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
WANGS KITCHEN,Chicken Manchurian,,279,10,,,,,,12:01PM,3:30PM,6:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,
