restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,item_status,image,main_cat,sub_cat,recommended,ingredients
Hart Lounge,Shawarma Roll,,70,,Non Veg,6:00.00pm,10:30.00pm,1,,Shawarma,,1,
Hart Lounge,Mexican Shawarma Roll,,80,,Non Veg,6:00.00pm,10:30.00pm,1,,Shawarma,,0,
Hart Lounge,Special Shawarma Roll,,90,,Non Veg,6:00.00pm,10:30.00pm,1,,Shawarma,,0,
Hart Lounge,Mx Special Shawarma Roll,,100,,Non Veg,6:00.00pm,10:30.00pm,1,,Shawarma,,0,
Hart Lounge,Extra Kuboos,,10,,Veg,6:00.00pm,10:30.00pm,1,,Roti,,0,
Hart Lounge,Shawarma Plate,,80,,Non Veg,6:00.00pm,10:30.00pm,1,,Shawarma,,0,
Hart Lounge,Mexican Shawarma Plate,,90,,Non Veg,6:00.00pm,10:30.00pm,1,,Shawarma,,0,
Hart Lounge,Special Shawarma Plate,,100,,Non Veg,6:00.00pm,10:30.00pm,1,,Shawarma,,0,
Hart Lounge,Mx Special Shawarma Plate,,110,,Non Veg,6:00.00pm,10:30.00pm,1,,Shawarma,,0,
Hart Lounge,Grill Shavaya Chicken Half,,220,,Non Veg,6:00.00pm,10:30.00pm,1,,Arabian Grilled,,0,
Hart Lounge,Bbq Spicy Chicken Half,,230,,Non Veg,6:00.00pm,10:30.00pm,1,,Barbaque,,0,
Hart Lounge,Afgani Bbq Chicken Half,,240,,Non Veg,6:00.00pm,10:30.00pm,1,,Barbaque,,1,
Hart Lounge,Alfaham Dajai Half,,230,,Non Veg,6:00.00pm,10:30.00pm,1,,Alfaham,,0,
Hart Lounge,Grill Shavaya Chicken Full,,420,,Non Veg,6:00.00pm,10:30.00pm,1,,Arabian Grilled,,1,
Hart Lounge,Bbq Spicy Chicken Full,,450,,Non Veg,6:00.00pm,10:30.00pm,1,,Barbaque,,0,
Hart Lounge,Afgani Bbq Chicken Full,,460,,Non Veg,6:00.00pm,10:30.00pm,1,,Barbaque,,0,
Hart Lounge,Alfaham Dajai Full,,450,,Non Veg,6:00.00pm,10:30.00pm,1,,Alfaham,,0,
Hart Lounge,Bbq Fish Plate,,200,,Non Veg,6:00.00pm,10:30.00pm,1,,Barbaque,,0,
Hart Lounge,Alfaham Fish Plate,,200,,Non Veg,6:00.00pm,10:30.00pm,1,,Alfaham,,0,
Hart Lounge,Bbq Paneer Tikka,,100,,Veg,6:00.00pm,10:30.00pm,1,,Barbaque,,1,
Hart Lounge,Paneer Manjurian,,80,,Veg,11:00:00am,10:30.00pm,1,,Starters,,0,
Hart Lounge,Chilly Chicken Dry,,100,,Non Veg,11:00:00am,10:30.00pm,1,,Starters,,0,
Hart Lounge,Chicken Lolly Pop,,100,,Non Veg,11:00:00am,10:30.00pm,1,,Starters,,0,
Hart Lounge,Veg Fried Rice,,60,,Non Veg,11:00:00am,10:30.00pm,1,,Fried Rice,,0,
Hart Lounge,Chicken Fried Rice,,80,,Non Veg,11:00:00am,10:30.00pm,1,,Fried Rice,,1,
Hart Lounge,Egg Fried Rice,,70,,Non Veg,11:00:00am,10:30.00pm,1,,Fried Rice,,0,
Hart Lounge,Schzwan Veg Fried Rice,,70,,Non Veg,11:00:00am,10:30.00pm,1,,Schezwan Fried Rice,,0,
Hart Lounge,schzwan Chicken Fried Rice,,100,,Non Veg,11:00:00am,10:30.00pm,1,,Schezwan Fried Rice,,0,
Hart Lounge,Paneer Fried Rice,,70,,Non Veg,11:00:00am,10:30.00pm,1,,Schezwan Fried Rice,,0,
Hart Lounge,Schzwan Egg Fried Rice,,80,,Non Veg,11:00:00am,10:30.00pm,1,,Schezwan Fried Rice,,0,
