restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
MGM VIRUNDU - RANIPET,Paanakam,,115.5,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Paneer Soda,,115.5,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Ginger Beer,,136.5,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Mineral Water With Service,,42,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Tea,,68.25,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Coffee,,68.25,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Soda,,57.75,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Fresh Lime Water ,,68.25,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Fresh Lime Soda,,68.25,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Aerated Drinks (330 Ml),,105,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Choice Of Milk Shakes,,162.75,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Cold Coffee,,115.5,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Health Drink,,115.5,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Lassi Sweet ,,115.5,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Lassi Salted,,115.5,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Fresh Fruit Juice,,136.5,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Thirst Relievers,,0,
MGM VIRUNDU - RANIPET,Gulab Jamun,,152.25,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,For Your Sweet Tooth,,0,
MGM VIRUNDU - RANIPET,Palak Halwa,,152.25,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,For Your Sweet Tooth,,0,
MGM VIRUNDU - RANIPET,Gajar Halwa,,152.25,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,For Your Sweet Tooth,,0,
MGM VIRUNDU - RANIPET,Brownie With Ice Cream,,183.75,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,For Your Sweet Tooth,,0,
MGM VIRUNDU - RANIPET,Choice Of Ice Cream,,152.25,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,For Your Sweet Tooth,,0,
MGM VIRUNDU - RANIPET,Fresh Fruit Salad,,152.25,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,For Your Sweet Tooth,,0,
MGM VIRUNDU - RANIPET,Mutton Kola Urundai Kuzhambu,,325.5,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,From The Shepherds,,0,
MGM VIRUNDU - RANIPET,Mutton Rogan Josh,,325.5,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,From The Shepherds,,0,
MGM VIRUNDU - RANIPET,Bhuna Gosht,,325.5,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,From The Shepherds,,0,
MGM VIRUNDU - RANIPET,Konjee Crispy Lamb,,325.5,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,From The Shepherds,,0,
MGM VIRUNDU - RANIPET,Chennai  Meen Kuzhambu,,346.5,5,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,From The Oceans,,0,
