restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
Hundreds Heritage,Tandoori Roti,,52,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
Hundreds Heritage,Curd,,52,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Accompaniments,,0,
Hundreds Heritage,Lachcha Paratha,,62,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breads,,1,
Hundreds Heritage,Naan,,62,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
Hundreds Heritage,Til Kulcha,,62,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
Hundreds Heritage,Mixed Raita,,62,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Accompaniments,,0,
Hundreds Heritage,Garlic Naan,,73,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
Hundreds Heritage,Lucknowi Naan,,73,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
Hundreds Heritage,Tomato & Onion Kulcha,,73,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
Hundreds Heritage,Boondi Raita,,73,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Accompaniments,,0,
Hundreds Heritage,Khameeri Naan,,83,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
Hundreds Heritage,Olive Naan,,83,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
Hundreds Heritage,Herb & Cheese Kulcha,,83,0,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Breads,,0,
Hundreds Heritage,Pineapple Raita,,83,5,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Accompaniments,,0,
Hundreds Heritage,Ice Tea,,83,5,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Beverages,,0,
Hundreds Heritage,Firni,,83,5,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Desserts,,0,
Hundreds Heritage,Lime Mint Cooler,,94,5,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Beverages,,0,
Hundreds Heritage,Deep Blue Sea,,94,5,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Beverages,,0,
Hundreds Heritage,Masala Papad,,104,5,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Tandoor Starters,,0,
Hundreds Heritage,Green Salad,,104,5,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Accompaniments,,0,
Hundreds Heritage,Veg Clear Soups,,104,5,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
Hundreds Heritage,Kiwi Pineapple Cooler,,104,5,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Beverages,,0,
Hundreds Heritage,Cold Coffee,,104,5,Veg,,,,,12:01PM,3:00PM,6:30PM,10:30PM,"1,2,3,4,5,6,7",1,,Beverages,,0,
