restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ICE CUBE,Vanilla 250ml,,188,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,1
ICE CUBE,Strawberry 250ml,,188,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,2
ICE CUBE,Chocolate 250ml,,188,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,3
ICE CUBE,Butter Scotch 250ml,,188,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,4
ICE CUBE,Black Currant 250ml,,188,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,5
ICE CUBE,Pista 250ml,,188,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,6
ICE CUBE,Mango 250ml,,188,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,7
ICE CUBE,Vanilla 500ml,,363,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,8
ICE CUBE,Strawberry 500ml,,363,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,9
ICE CUBE,Chocolate 500ml,,363,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,10
ICE CUBE,Butter Scotch 500ml,,363,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,11
ICE CUBE,Black Currant 500ml,,363,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,12
ICE CUBE,Pista 500ml,,375,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,13
ICE CUBE,Mango 500ml,,375,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoops,,0,,1,14
ICE CUBE,Black Forest Delight 250ml,,188,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,1
ICE CUBE,Banana Royal Sundae 250ml,,175,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,2
ICE CUBE,Sky Scraper 250ml,,213,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,3
ICE CUBE,La Frutta 250ml,,200,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,4
ICE CUBE,Caramel Fruit Feast 250ml,,188,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,5
ICE CUBE,Titanic 250ml,,225,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,6
ICE CUBE,Fruits and Nuts 250ml,,225,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,7
ICE CUBE,Jelly Belly 250ml,,188,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,8
ICE CUBE,Tempting Moments 250ml,,200,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,9
ICE CUBE,Fake Sizz 250ml,,200,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,10
ICE CUBE,Black Forest Delight 500ml,,363,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,11
ICE CUBE,Banana Royal Sundae 500ml,,363,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,12
ICE CUBE,La Frutta 500ml,,375,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,13
ICE CUBE,Caramel Fruit Feast 500ml,,363,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,14
ICE CUBE,Fruits and Nuts 500ml,,425,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,15
ICE CUBE,Jelly Belly 500ml,,363,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,16
ICE CUBE,Tempting Moments  500ml,,375,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,17
ICE CUBE,Fake Sizz 500ml,,375,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Scoop Serve,,0,,2,18
ICE CUBE,Hot Brownie Scoop,,138,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Brownies,,0,,3,1
ICE CUBE,Dual Fudge Brownie,,213,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Brownies,,0,,3,2
ICE CUBE,Choco Nutties Brownie,,213,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Brownies,,0,,3,3
ICE CUBE,Hot Sizzler Brownie,,225,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Brownies,,0,,3,4
ICE CUBE,Sizzling Berry Brownie,,275,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Brownies,,0,,3,5
ICE CUBE,Brownie Boat,,275,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Brownies,,0,,3,6
ICE CUBE,Rose Milk,,100,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,4,1
ICE CUBE,Vanilla Shakes,,113,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,4,2
ICE CUBE,Strawberry Shakes,,113,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Shakes,,0,,4,3
