restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
JOLLY DHABA,JOLLY Dhaba Special Chicken,,180,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,JOLLY DHABA Special, ,0,,18,1
JOLLY DHABA,Uthukuli Chicken,,180,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,JOLLY DHABA Special,,0,,18,2
JOLLY DHABA,Ceylon Chicken,,180,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,JOLLY DHABA Special,,0,,18,3
JOLLY DHABA,Garlic Chicken Kabab,,180,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,JOLLY DHABA Special,,0,,18,4
JOLLY DHABA,Kudal Fry,,180,,,,,,Non Veg,11:00AM,04:00PM,,,,,,,"1,2,3,4,5,6,7",1,,JOLLY DHABA Special,,0,,18,5
JOLLY DHABA,Chicken Pepper Soup,,50,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup Items,,0,,18,6
JOLLY DHABA,Chicken Manchow Soup,,50,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup Items,,0,,18,8
JOLLY DHABA,Hot and Sour Chicken Soup,,50,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Soup Items,,0,,18,9
JOLLY DHABA,Gobi 65,,90,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,10
JOLLY DHABA,Mushroom 65,,110,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,18,11
JOLLY DHABA,Paneer 65,,110,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,1
JOLLY DHABA,Mushroom Munchurian,,120,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,2
JOLLY DHABA,Gobi Manchurian,,120,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,4
JOLLY DHABA,Paneer Manchurian,,120,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,5
JOLLY DHABA,Dragon Mushroom,,120,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,6
JOLLY DHABA,Mushroom Hot Pepper,,120,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,7
JOLLY DHABA,Paneer Monika,,120,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,8
JOLLY DHABA,Honey Chilli Paneer,,130,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,8
JOLLY DHABA,Payasam (Cold),,20,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,10
JOLLY DHABA,Chicken 65 (Bone),,120,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,1,9
JOLLY DHABA,Chicken 65 (Boneless),,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,1,10
JOLLY DHABA,Nethili Fry,,180,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,1,11
JOLLY DHABA,Fish Manchurian,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,1,12
JOLLY DHABA,Chicken Monika (Bone),,150,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,1,13
JOLLY DHABA,Chicken Uppukari,,130,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,1,14
JOLLY DHABA,Chicken Pallipalayam,,150,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,1,15
JOLLY DHABA,Chicken Pepper Fry,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,1,16
JOLLY DHABA,South Indian Lolly Pop (5 Pcs),,150,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,3
JOLLY DHABA,Chinese Lolly Pop (5 Pcs),,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,4
JOLLY DHABA,Tandoori Chicken Half,,200,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,5
JOLLY DHABA,Tandoori Chicken Full,,400,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,6
JOLLY DHABA,Chicken Tikka,,180,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,7
JOLLY DHABA,Tangiri Kebab (Tandoori Leg 2 Pcs),,180,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,8
JOLLY DHABA,Dragon Chicken,,180,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,11
JOLLY DHABA,Chicken Varuval,,130,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,12
JOLLY DHABA,Lemon Chicken,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,13
JOLLY DHABA,Hyderabad Chicken,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,14
JOLLY DHABA,Chicken Manchurian,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,15
JOLLY DHABA,Chicken 555,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,16
JOLLY DHABA,Chicken 777,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,17
JOLLY DHABA,Kerala Chicken,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,18
JOLLY DHABA,Maharani Chicken,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,19
JOLLY DHABA,Methi Chicken,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,20
JOLLY DHABA,Kaadai Fry,,110,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,21
JOLLY DHABA,Chintamani Chicken,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,22
JOLLY DHABA,Garlic Chicken,,160,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Startes,,0,,2,23
JOLLY DHABA,Vathukari Varuval Full,,500,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"6,7",1,,Non Veg Startes,,0,,2,24
JOLLY DHABA,Veg Fried Rice,,80,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,25
JOLLY DHABA,Paneer Fried Rice,,110,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,26
JOLLY DHABA,Mushroom Fried Rice,,110,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,27
JOLLY DHABA,Schezwan Veg Fried Rice,,100,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,28
JOLLY DHABA,Chicken Fried Rice,,110,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,29
JOLLY DHABA,Schezwan Chicken Fried Rice,,130,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,30
JOLLY DHABA,Fish Fried Rice,,150,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,31
JOLLY DHABA,Singapore Chicken Fried Rice,,140,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,32
JOLLY DHABA,Garlic Veg Fried Rice,,100,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,33
JOLLY DHABA,Garlic Chicken Fried Rice,,150,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,34
JOLLY DHABA,EGG Rice,,90,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,42
JOLLY DHABA,Veg Noodles,,110,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,35
JOLLY DHABA,Mushroom Noodles,,110,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,36
JOLLY DHABA,Singapore Veg Noodles,,110,,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,37
JOLLY DHABA,Chicken Noodles,,120,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,38
JOLLY DHABA,Singapore Chicken Noodles,,140,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,39
JOLLY DHABA,Schezwan Chicken Noodles,,130,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,40
JOLLY DHABA,EGG Noodles,,100,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese Fried Rice / Noodles,,0,,2,41
JOLLY DHABA,Omelette ,Double Egg,50,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,EGG Starters,,0,,2,43
JOLLY DHABA,Full Boil ,Single Egg,20,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,EGG Starters,,0,,2,44
JOLLY DHABA,Kalakki ,Double Egg,40,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,EGG Starters,,0,,2,45
JOLLY DHABA,Egg Podimass ,Double Egg,50,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,EGG Starters,,0,,2,46
JOLLY DHABA,Egg Mass ,Double Egg,50,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,EGG Starters,,0,,2,47
JOLLY DHABA,Boiled Egg ,Double Egg,30,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,EGG Starters,,0,,2,49
JOLLY DHABA,Simly Egg ,Double Egg,40,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,EGG Starters,,0,,2,50
JOLLY DHABA,Chilli Egg,,90,,,,,,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,EGG Starters,,0,,2,51
