restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL JUNIOR KUPPANNA,Chicken Briyani,Seeraga Samba Rice,205,,,,10.25,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani, ,0,,18,1
HOTEL JUNIOR KUPPANNA,Mutton Briyani,Seeraga Samba Rice,235,,,,11.75,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,18,2
HOTEL JUNIOR KUPPANNA,Chicken Briyani 1/2,Seeraga Samba Rice,130,,,,6.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,18,3
HOTEL JUNIOR KUPPANNA,Mutton Briyani 1/2,Seeraga Samba Rice,150,,,,7.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,18,4
HOTEL JUNIOR KUPPANNA,Meals,"Plain Non Veg Gravy,Rasam,Curd,Egg,2Poriyal",170,,,,8.5,Non Veg,,,,,12.30PM,04.00PM,,,"1,2,3,4,5,6,7",1,,Meals,,0,,18,5
HOTEL JUNIOR KUPPANNA,Curd Rice,,80,,,,4,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,18,6
HOTEL JUNIOR KUPPANNA,Parotta with Gravy,,30,,,,1.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,18,7
HOTEL JUNIOR KUPPANNA,Chapathi(2Nos)with Gravy,,45,,,,2.25,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,18,8
HOTEL JUNIOR KUPPANNA,Cut Rotti(1No)with Gravy,,33,,,,1.65,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,18,9
HOTEL JUNIOR KUPPANNA,Veechu Parotta With Gravy,,33,,,,1.65,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,18,10
HOTEL JUNIOR KUPPANNA,Egg VeechuParotta  With Gravy,,45,,,,2.25,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,18,11
HOTEL JUNIOR KUPPANNA,Ghee Parotta With Gravy,,75,,,,3.75,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,1
HOTEL JUNIOR KUPPANNA,Idly(1No) With Gravy,,15,,,,0.75,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,2
HOTEL JUNIOR KUPPANNA,Idiyappam,,50,,,,2.5,Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,3
HOTEL JUNIOR KUPPANNA,Erode Dosai,,33,,,,1.65,Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,4
HOTEL JUNIOR KUPPANNA,Onion Dosai,,55,,,,2.75,Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,5
HOTEL JUNIOR KUPPANNA,Ghee Dosai,,75,,,,3.75,Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,6
HOTEL JUNIOR KUPPANNA,Egg Dosai,,55,,,,2.75,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,7
HOTEL JUNIOR KUPPANNA,Egg Kothu Parotta With Gravy,,145,,,,7.25,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,8
HOTEL JUNIOR KUPPANNA,Chicken Stuffed Parotta,,155,,,,7.75,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,9
HOTEL JUNIOR KUPPANNA,Mutton Stuffed Parotta,,200,,,,10,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,10
HOTEL JUNIOR KUPPANNA,Mutton Kothu Parotta With Gravy,,270,,,,13.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,11
HOTEL JUNIOR KUPPANNA,Chicken Kothu Parotta With Gravy,,245,,,,12.25,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,12
HOTEL JUNIOR KUPPANNA,Curry Dosai Mutton,,200,,,,10,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,13
HOTEL JUNIOR KUPPANNA,Curry Dosai Chicken,,200,,,,10,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,1,14
HOTEL JUNIOR KUPPANNA,Chicken Fried Rice,,190,,,,9.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,1,15
HOTEL JUNIOR KUPPANNA,Egg Fried Rice,,170,,,,8.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,1,16
HOTEL JUNIOR KUPPANNA,Chicken Noodles,,190,,,,9.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,2,1
HOTEL JUNIOR KUPPANNA,Egg Noodles,,170,,,,8.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,2,2
HOTEL JUNIOR KUPPANNA,Chicken Pallipalayam(oil Free),,200,,,,10,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Gravy,,0,,2,3
HOTEL JUNIOR KUPPANNA,Chicken Chukka /Gravy,,200,,,,10,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Gravy,,0,,2,4
HOTEL JUNIOR KUPPANNA,Chicken Pepper Fry,,200,,,,10,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Gravy,,0,,2,5
HOTEL JUNIOR KUPPANNA,Chicken Machurian,,210,,,,10.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Gravy,,0,,2,6
HOTEL JUNIOR KUPPANNA,Chicken Leg Piece Fry,,215,,,,10.75,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Gravy,,0,,2,7
HOTEL JUNIOR KUPPANNA,Boneless Chukka /Fry,,215,,,,10.75,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Gravy,,0,,2,8
HOTEL JUNIOR KUPPANNA,Chicken Anda Fry,,210,,,,10.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Gravy,,0,,2,9
HOTEL JUNIOR KUPPANNA,Chicken Liver Fry,,150,,,,7.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Gravy,,0,,2,10
HOTEL JUNIOR KUPPANNA,Chicken Liver Masala,,150,,,,7.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Gravy,,0,,2,11
HOTEL JUNIOR KUPPANNA,Junior Butter Chicken,,215,,,,10.75,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Dry Gravy,,0,,2,12
HOTEL JUNIOR KUPPANNA,Kongu Naadu Chicken Curry,,225,,,,11.25,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naadu Chicken(Poultry) Dry & Gravy,,0,,2,13
HOTEL JUNIOR KUPPANNA,Naadu Chicken Gravy,,220,,,,11,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naadu Chicken(Poultry) Dry & Gravy,,0,,2,14
HOTEL JUNIOR KUPPANNA,Naadu Chicken Masala,,220,,,,11,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naadu Chicken(Poultry) Dry & Gravy,,0,,2,15
HOTEL JUNIOR KUPPANNA,Naadu Chicken Fry,,220,,,,11,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Naadu Chicken(Poultry) Dry & Gravy,,0,,2,16
HOTEL JUNIOR KUPPANNA,Naadu Chicken Chukka,,220,,,,11,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Kaadai,,0,,2,17
HOTEL JUNIOR KUPPANNA,Kaadai Roast,,180,,,,9,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Kaadai,,0,,2,18
HOTEL JUNIOR KUPPANNA,Kaadai Fry,,180,,,,9,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Kaadai,,0,,2,19
HOTEL JUNIOR KUPPANNA,Kaadai Masala,,180,,,,9,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Kaadai,,0,,2,20
HOTEL JUNIOR KUPPANNA,Kalaki,,20,,,,1,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,2,21
HOTEL JUNIOR KUPPANNA,Omlet,,35,,,,1.75,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,2,22
HOTEL JUNIOR KUPPANNA,Egg Fry,,35,,,,1.75,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,2,23
HOTEL JUNIOR KUPPANNA,Egg Masala,,110,,,,5.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Egg Items,,0,,2,24
HOTEL JUNIOR KUPPANNA,Chicken Soup,,130,,,,6.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,2,25
HOTEL JUNIOR KUPPANNA,Aatukaal Soup,,150,,,,7.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,2,26
HOTEL JUNIOR KUPPANNA,Mutton Pallipalayam(oilFree),,235,,,,11.75,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Dry & Gravy,,0,,2,27
HOTEL JUNIOR KUPPANNA,Mutton Fry,,230,,,,11.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Dry & Gravy,,0,,2,28
HOTEL JUNIOR KUPPANNA,Mutton Gravy,,230,,,,11.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Dry & Gravy,,0,,2,29
HOTEL JUNIOR KUPPANNA,kongu Mutton Curry,,240,,,,12,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Dry & Gravy,,0,,2,30
HOTEL JUNIOR KUPPANNA,Mutton Pepper Fry,,230,,,,11.5,Non Veg,11.30AM,10.30PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Dry & Gravy,,0,,2,31
