restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
Jothi Biriyani,1/2 Mutton Briyani,,115,0,Non Veg,,,,,11:00AM,3:00PM,6:00PM,8:30PM,"1,2,3,4,5,6,7",1,,Briyani,,1,
Jothi Biriyani,1/2 Mutton Briyani With Egg,,125,0,Non Veg,,,,,11:00AM,3:00PM,6:00PM,8:30PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Jothi Biriyani,1/4 Mutton Briyani ,,65,0,Non Veg,,,,,11:00AM,3:00PM,6:00PM,8:30PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Jothi Biriyani,Extra Mutton,,55,0,Non Veg,,,,,11:00AM,3:00PM,6:00PM,8:30PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Jothi Biriyani,1/2 Chicken Briyani,,105,0,Non Veg,,,,,11:00AM,3:00PM,6:00PM,8:30PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Jothi Biriyani,1/2 Chicken Briyani With Egg,,115,0,Non Veg,,,,,11:00AM,3:00PM,6:00PM,8:30PM,"1,2,3,4,5,6,7",1,,Briyani,,1,
Jothi Biriyani,1/4 Chicken Briyani,,65,0,Non Veg,,,,,11:00AM,3:00PM,6:00PM,8:30PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Jothi Biriyani,1/2 Plain Briyani (Kushka),,55,0,Non Veg,,,,,11:00AM,3:00PM,6:00PM,8:30PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Jothi Biriyani,1/4 Plain Briyani (Kushka),,30,0,Non Veg,,,,,11:00AM,3:00PM,6:00PM,8:30PM,"1,2,3,4,5,6,7",1,,Briyani,,0,
Jothi Biriyani,1/2 Egg Briyani ,,65,0,Non Veg,,,,,11:00AM,3:00PM,6:00PM,8:30PM,"1,2,3,4,5,6,7",1,,Briyani,,1,
Jothi Biriyani,Vanjaram Fish Fry,,135,0,Non Veg,,,,,11:00AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Starters Dry,,1,
Jothi Biriyani,Chicken Fry,,85,0,Non Veg,,,,,11:00AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Starters Dry,,1,
Jothi Biriyani,Chicken 65,,85,0,Non Veg,,,,,11:00AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Starters Dry,,1,
Jothi Biriyani,Boiled Egg,,10,0,Non Veg,,,,,11:00AM,3:00PM,,,"1,2,3,4,5,6,7",1,,Starters Dry,,0,
