restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KAKKA MUTTAI ,Veg Delight Pizza (Personal),"Cheese, Onion, Capsicum,Tomato, Green Chilly, Olives",290,,,,15,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Pizzas,,0,,3,1
KAKKA MUTTAI ,Chilly Cheese Pizza (Personal),"Cheese, Onion, Bell Pepper, Tomato, Green Chilly,Olives",290,,,,15,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Pizzas,,0,,3,2
KAKKA MUTTAI ,Chef Special Pizza (Personal),"Cheese, Onion, Tomato, Green Chilly,Corn,Fried Panner",290,,,,15,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Pizzas,,0,,3,2
KAKKA MUTTAI ,Spicy Pasta Pizza (Personal),"Cheese, Onion, Tomato, Green Chilly,Corn,Spicy Pasta",290,,,,15,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Pizzas,,0,,3,2
KAKKA MUTTAI ,Spicy Panner Pizza (Personal),"Cheese, Panner, Green Chilly, Onion",290,,,,15,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Pizzas,,0,,3,3
KAKKA MUTTAI ,Roasted Mushroom Pizza (Personal),"Cheese, Over Roasted Mushroom, Onion Capsicum, Olives, Corn",290,,,,15,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Pizzas,,0,,3,4
KAKKA MUTTAI ,Veg Lover Pizza (Personal),"Onion, Tomatoi, Green Pepper, Mushroom Corn, Olives",290,,,,15,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Pizzas,,0,,3,5
KAKKA MUTTAI ,Fried Mushroom Pizza (Personal),"Cheese, Onion, Capsicum, Corn, Fried Mushroom",290,,,,15,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Pizzas,,0,,3,6
KAKKA MUTTAI ,Royal Veg Pizza (Personal),"Cheese, Onion, Tomato, Mushroom",290,,,,15,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Pizzas,,0,,3,7
KAKKA MUTTAI ,Panner Tikka Pizza (Personal),"Cheese,Onion, Tomato, Capsicum, Panner Tikka",290,,,,15,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Pizzas,,0,,3,8
KAKKA MUTTAI ,Bbq Veg Pizza (Personal),"Onion, Tomato, Green Pepper, Corn",290,,,,15,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Pizzas,,0,,3,9
