restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KAKKA MUTTAI - THINNAPPA THEATRE,Idly (2 Nos),,14,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
KAKKA MUTTAI - THINNAPPA THEATRE,Pongal,,40,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,2
KAKKA MUTTAI - THINNAPPA THEATRE,Vada (4 Pcs),,20,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,3
KAKKA MUTTAI - THINNAPPA THEATRE,Poori,,40,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,4
KAKKA MUTTAI - THINNAPPA THEATRE,Roast,,40,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,5
KAKKA MUTTAI - THINNAPPA THEATRE,Uthappam,,30,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,6
KAKKA MUTTAI - THINNAPPA THEATRE,Dosai,,20,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,7
KAKKA MUTTAI - THINNAPPA THEATRE,Curd Rice,,30,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,3,1
KAKKA MUTTAI - THINNAPPA THEATRE,Tomato Rice,,35,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,3,2
KAKKA MUTTAI - THINNAPPA THEATRE,Kuska,,40,,,,5,Non veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,2,1
KAKKA MUTTAI - THINNAPPA THEATRE,Chicken Briyani,,80,,,,5,Non veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,2,2
KAKKA MUTTAI - THINNAPPA THEATRE,Parotta (2 Nos),,20,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,4,1
KAKKA MUTTAI - THINNAPPA THEATRE,Chilli Parotta,,50,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,4,2
KAKKA MUTTAI - THINNAPPA THEATRE,Non Veg Kothu Parotta,,50,,,,5,Non veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,4,3
KAKKA MUTTAI - THINNAPPA THEATRE,Veg Kothu Parotta,,40,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,4,4
KAKKA MUTTAI - THINNAPPA THEATRE,Chappathi,,40,,,,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,4,5
KAKKA MUTTAI - THINNAPPA THEATRE,Omlet,,12,,,,5,Non veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,4,6
