restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
HOTEL KANNA,Veg Manchurian ,,86,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Manchurians,,0,
HOTEL KANNA,Gobi Manchurian,,88,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Manchurians,,0,
HOTEL KANNA,Mushroom Munchurian,,100,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Manchurians,,0,
HOTEL KANNA,Paneer Manchurian,,105,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Manchurians,,0,
HOTEL KANNA,Chilly Gobi Dry,,102,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Manchurians,,0,
HOTEL KANNA,Chilly Mushroom Dry,,100,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Manchurians,,0,
HOTEL KANNA,Chilly Paneer Dry,,105,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Manchurians,,0,
HOTEL KANNA,Filter Coffee,,20,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,
HOTEL KANNA,Tea,,20,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,
HOTEL KANNA,Ginger Tea,,20,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,
HOTEL KANNA,Green Tea,,15,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,
HOTEL KANNA,Milk,,20,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Beverages,,0,
