restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KARTHI BAMBOO BIRIYANI CENTER,Bamboo Chicken Biriyani,,70,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bamboo Biriyani,,0,,1,1
KARTHI BAMBOO BIRIYANI CENTER,Bamboo Mutton Biriyani,,130,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bamboo Biriyani,,0,,1,2
KARTHI BAMBOO BIRIYANI CENTER,Bamboo with Chicken Biriyani,,150,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bamboo Biriyani,,0,,1,3
KARTHI BAMBOO BIRIYANI CENTER,Bamboo with Mutton Biriyani,,220,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bamboo Biriyani,,0,,1,4
KARTHI BAMBOO BIRIYANI CENTER,Plain Biriyani,,60,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Bamboo Biriyani,,0,,1,5
KARTHI BAMBOO BIRIYANI CENTER,Nattukozhi Soup,,30,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup Non Veg,,0,,2,1
KARTHI BAMBOO BIRIYANI CENTER,Mutton Soup,,50,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup Non Veg,,0,,2,2
KARTHI BAMBOO BIRIYANI CENTER,Mushroom Chilli,,60,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,1
KARTHI BAMBOO BIRIYANI CENTER,Califlower Chilli,,60,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,2
KARTHI BAMBOO BIRIYANI CENTER,Sweet Corn Chilli,,60,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,3
KARTHI BAMBOO BIRIYANI CENTER,Baby Corn Chilli,,60,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,4
KARTHI BAMBOO BIRIYANI CENTER,Sweet Corn Gravy,,60,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,4,1
KARTHI BAMBOO BIRIYANI CENTER,Baby Corn Gravy,,60,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,4,2
KARTHI BAMBOO BIRIYANI CENTER,Mushroom Gravy,,60,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,4,3
KARTHI BAMBOO BIRIYANI CENTER,Califlower Gravy,,60,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,4,4
KARTHI BAMBOO BIRIYANI CENTER,Soya Beans Gravy,,60,,,,0,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,4,5
KARTHI BAMBOO BIRIYANI CENTER,Pallipalayam Varuval,,60,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,1
KARTHI BAMBOO BIRIYANI CENTER,Chettinadu Varuval,,60,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,2
KARTHI BAMBOO BIRIYANI CENTER,Nattukozhi Varuval,,80,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,3
KARTHI BAMBOO BIRIYANI CENTER,Vaathu Varuval,,80,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,4
KARTHI BAMBOO BIRIYANI CENTER,Uppukari Dry,,60,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,5
KARTHI BAMBOO BIRIYANI CENTER,Chicken 65 ,,50,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,6
KARTHI BAMBOO BIRIYANI CENTER,Ginger Chicken Dry,,60,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,7
KARTHI BAMBOO BIRIYANI CENTER,Garlic Chicken Dry,,60,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,8
KARTHI BAMBOO BIRIYANI CENTER,Pepper Chicken Dry,,60,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,9
KARTHI BAMBOO BIRIYANI CENTER,Lemon Chicken Dry,,60,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,10
KARTHI BAMBOO BIRIYANI CENTER,Ginger Chicken Nattukozhi Dry,,100,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,11
KARTHI BAMBOO BIRIYANI CENTER,Garlic Chicken Nattukozhi Dry,,100,,,,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,12
