restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KATTU SEVAL,Chicken Briyani (1/2 Kg),,70,,,,10,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,1
KATTU SEVAL,Chicken Briyani (1 Kg),,130,,,,10,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,1,,1,2
KATTU SEVAL,Chicken Pallipalayam,,90,,,,10,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,1,,2,1
KATTU SEVAL,Chicken 65 Boneless,,90,,,,10,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,2
KATTU SEVAL,Chilly Chicken,,40,,,,10,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,3
KATTU SEVAL,Nattu Kozhi Varuval,,140,,,,10,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,1,,2,4
KATTU SEVAL,Nattu Kozhi Pepper Chicken,,140,,,,10,0,Non Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,5
KATTU SEVAL,Strawberry Milkshake,,80,,,,10,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,1
KATTU SEVAL,Vannilla Milkshake,,80,,,,10,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,2
KATTU SEVAL,Chocolate Milkshake,,80,,,,10,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,3
KATTU SEVAL,Black Currant Milkshake,,80,,,,10,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,1,,3,4
KATTU SEVAL,Green Apple Milkshake,,80,,,,10,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,5
KATTU SEVAL,Pineapple Milkshake,,80,,,,10,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,6
KATTU SEVAL,Butterscotch Milkshake,,80,,,,10,0,Veg,12:00PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Milkshakes,,0,,3,7
