restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KG BRIYANI,Chicken Briyani,,90,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,1
KG BRIYANI,Chicken Briyani Plain,,60,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,1
KG BRIYANI,Chicken Briyani 1 Kg,,145,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,2
KG BRIYANI,Mutton Briyani,,222,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,3
KG BRIYANI,Nattukozhi Briyani,,160,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,3
KG BRIYANI,Andhra Egg Poriyal,,25,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,4
KG BRIYANI,Uppukari,,80,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,5
KG BRIYANI,Chicken Chukka,,50,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,6
KG BRIYANI,Pallipalayam Chicken Semi Gravy,,60,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,7
KG BRIYANI,Chettinad Chicken Gravy,,70,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,8
KG BRIYANI,Pallipalayam Chicken Gravy,,70,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,9
KG BRIYANI,Chettinad Chicken Chukka,,70,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,9
KG BRIYANI,Kola Urundai 1 Pc,,20,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,9
KG BRIYANI,Boti Gravy,,90,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,1,9
KG BRIYANI,Boti Fry,,90,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,1,9
KG BRIYANI,Boti Egg Fry,,100,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,1,9
KG BRIYANI,Chettinad Mutton Chukka,,160,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Starters,,0,,1,9
KG BRIYANI,Pitchupotta Nattukozhi Fry,,150,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Special,,0,,1,9
KG BRIYANI,Nattukozhi Uppukari,,120,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Special,,0,,1,9
KG BRIYANI,Chettinad Nattukozhi Fry,,160,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Special,,0,,1,9
KG BRIYANI,Grill Full,,288,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Items,,0,,1,9
KG BRIYANI,Grill Half,,160,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Items,,0,,1,9
KG BRIYANI,Veg Rice,,60,,,,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,1,9
KG BRIYANI,Egg Rice ,,70,,,,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,1,9
