restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Veg Clear Soup,,40,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soup Items,,0,,1,1
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Hot And Sour Veg Soup,,60,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soup Items,,0,,1,2
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Hot Mushroom Soup,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soup Items,,0,,1,4
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Veg Mancha Soup,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soup Items,,0,,1,5
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Tomato Soup,,40,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Soup Items,,0,,1,6
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Chicken Clear Soup,,60,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non  Veg Soup Items,,0,,1,7
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Chicken Hot And Sour Soup,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non  Veg Soup Items,,0,,1,8
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Chicken Mancha Soup,,60,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non  Veg Soup Items,,0,,1,10
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Mutton Pepper Soup,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non  Veg Soup Items,,0,,1,11
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Gobi 65,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Items,,0,,2,1
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Mushroom 65,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Items,,0,,2,2
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Panner 65,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Items,,0,,2,3
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Gobi Manchurian,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Items,,0,,2,4
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Mushroom Manchurian,,100,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Items,,0,,2,5
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Panner Manchurian,,100,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Items,,0,,2,6
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Hot Pepper Mushroom,,120,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Items,,0,,2,7
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Dragon Panner,,120,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Items,,0,,2,8
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Baby Corn 65,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Items,,0,,2,9
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Gobi  Masala,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy Items,,0,,2,11
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Mushroom Masala,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy Items,,0,,2,12
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Kadai Vegtable,,100,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy Items,,0,,2,13
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Mushroom Chettinadu,,110,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy Items,,0,,2,14
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Panner Chettinadu,,110,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy Items,,0,,2,15
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Gobi Chettinadu,,100,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy Items,,0,,2,16
KOKKARAKKO BIRYANI & FAST FOOD VAIYAPURINAGAR,Veg Kurma,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy Items,,0,,2,17
