restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KOKKARAKO BUS STAND,Chicken Biriyani 1Kg,,150,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,1
KOKKARAKO BUS STAND,chicken Biriyani Half Kg,,90,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,2,1
KOKKARAKO BUS STAND,Mutton Biriyani 1Kg,,250,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,3,1
KOKKARAKO BUS STAND,Mutton Biriyani Half Kg,,140,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,4,1
KOKKARAKO BUS STAND,Chicken Mt Biriyani 1Kg,,110,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,5,1
KOKKARAKO BUS STAND,Chicken Mt Biriyani Half Kg,,60,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,6,1
KOKKARAKO BUS STAND,Mutton MT Biriyani 1 Kg ,,120,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,7,1
KOKKARAKO BUS STAND,Mutton MT Biriyani Half  Kg ,,70,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,8,1
KOKKARAKO BUS STAND,Veg Meals,,80,,,,,Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,1,2
KOKKARAKO BUS STAND,Fish Curry Meals,,110,,,,,Non-Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,2,2
KOKKARAKO BUS STAND,Ghee Rice,,90,,,,,Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,2
KOKKARAKO BUS STAND,Jeera Rice,,80,,,,,Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,4,2
KOKKARAKO BUS STAND,Pies Bulavo,,80,,,,,Veg,12:00PM,03:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,5,2
KOKKARAKO BUS STAND,Veg Fried Rice,,70,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,1,3
KOKKARAKO BUS STAND,Egg Fried Rice,,80,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,2,3
KOKKARAKO BUS STAND,Chicken Fried Rice,,90,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,3,3
KOKKARAKO BUS STAND,Shezwan Chicken Fried Rice,,110,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,4,3
KOKKARAKO BUS STAND,Shezwan Veg Fried Rice,,90,,,,,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,5,3
KOKKARAKO BUS STAND,Mix Fried Rice,,170,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,6,3
KOKKARAKO BUS STAND,Singapuri Fried Rice,,170,,,,,Non-Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,7,3
