restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KURUNCHI HOTEL (Pure Veg),Veg Omelette,,35,,,,5,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,1
KURUNCHI HOTEL (Pure Veg),Panner Manchuriyan,,200,,,,5,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,2
KURUNCHI HOTEL (Pure Veg),Gobi Manchuriyan,,180,,,,5,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,3
KURUNCHI HOTEL (Pure Veg),Mushroom Manchuriayn,,195,,,,5,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,4
KURUNCHI HOTEL (Pure Veg),Panner 65,,190,,,,5,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,5
KURUNCHI HOTEL (Pure Veg),Gobi 65,,160,,,,5,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,6
KURUNCHI HOTEL (Pure Veg),Mushroom 65,,170,,,,5,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,7
KURUNCHI HOTEL (Pure Veg),Bread Chilli,,70,,,,5,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,8
KURUNCHI HOTEL (Pure Veg),Veg Fish 1 Pc,,50,,,,5,0,Veg,10:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,9
KURUNCHI HOTEL (Pure Veg),Gobi Gravy,,210,,,,5,0,Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,2,1
KURUNCHI HOTEL (Pure Veg),Panner Gravy,,250,,,,5,0,Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,2,2
KURUNCHI HOTEL (Pure Veg),Mushroom Gravy,,230,,,,5,0,Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,2,3
KURUNCHI HOTEL (Pure Veg),Gobi Chettinadu Gravy,,220,,,,5,0,Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,2,4
KURUNCHI HOTEL (Pure Veg),Panner Chettinadu Gravy,,260,,,,5,0,Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,2,5
KURUNCHI HOTEL (Pure Veg),Mushroom Chettinadu Gravy,,240,,,,5,0,Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravy,,0,,2,6
KURUNCHI HOTEL (Pure Veg),Chappathi 2 Pcs,,70,,,,5,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,1
KURUNCHI HOTEL (Pure Veg),Kothu Chappathi ,,120,,,,5,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,2
KURUNCHI HOTEL (Pure Veg),Parotta 1 Pc,,35,,,,5,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,3
KURUNCHI HOTEL (Pure Veg),Wheat Parotta 1 Pc,,50,,,,5,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,4
KURUNCHI HOTEL (Pure Veg),Bun Parotta 1 Pc,,50,,,,5,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,5
KURUNCHI HOTEL (Pure Veg),Panner Parotta 1 Pc,,100,,,,5,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,6
KURUNCHI HOTEL (Pure Veg),Ghee Parotta 1 Pc,,60,,,,5,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,7
KURUNCHI HOTEL (Pure Veg),Layer Parotta 1Pc,,50,,,,5,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,8
KURUNCHI HOTEL (Pure Veg),Masala Parotta 1Pc,,70,,,,5,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,9
KURUNCHI HOTEL (Pure Veg),Mushroom Parotta 1Pc,,80,,,,5,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,10
KURUNCHI HOTEL (Pure Veg),Gobi Parotta 1 Pc,,80,,,,5,0,Veg,09:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,3,11
