restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KURUNCHI HOTEL,Idly (2 Nos),,25,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffen,,0,,3,1
KURUNCHI HOTEL,Sambar Idly,,40,,,,5,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffen,,0,,3,2
KURUNCHI HOTEL,Idiyappam,,30,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,,3,3
KURUNCHI HOTEL,Uthappam,,40,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,,3,4
KURUNCHI HOTEL,Onion Uthappam,,60,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,,3,5
KURUNCHI HOTEL,Garlic Uthappam,,50,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,,3,6
KURUNCHI HOTEL,Masala Rava Dosa,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,,3,7
KURUNCHI HOTEL,Dosa,,30,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,,3,8
KURUNCHI HOTEL,Wheat Dosa,,30,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,,3,9
KURUNCHI HOTEL,Ragi Dosa,,30,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,,3,10
KURUNCHI HOTEL,Roast,,40,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,1
KURUNCHI HOTEL,Onion Roast,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,2
KURUNCHI HOTEL,Ghee Roast,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,3
KURUNCHI HOTEL,Podi Roast,,50,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,4
KURUNCHI HOTEL,Paper Roast,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,5
KURUNCHI HOTEL,Ghee Rava Roast,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,6
KURUNCHI HOTEL,Ghee Onion Rava Roast,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,7
KURUNCHI HOTEL,Onion Rava Roast,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,8
KURUNCHI HOTEL,Paneer Roast,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,9
KURUNCHI HOTEL,Rava Roast,,50,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,10
KURUNCHI HOTEL,Masal Roast,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,11
KURUNCHI HOTEL,Kalan Roast,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,12
KURUNCHI HOTEL,Gobi Roast,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,13
KURUNCHI HOTEL,Ghee Masala Roast,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,14
KURUNCHI HOTEL,Ghee Onion Roast,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Roast,,0,,4,15
KURUNCHI HOTEL,Wheat Parotta (1 Pc),,25,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,5,1
KURUNCHI HOTEL,Wheat Chilly Parotta,,100,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,5,2
KURUNCHI HOTEL,Wheat Kothu Parotta,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,5,3
KURUNCHI HOTEL,Chappathi (2 Pcs),,40,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,5,4
KURUNCHI HOTEL,Parota (2 Pcs),,40,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,5,5
KURUNCHI HOTEL,Kothu Parotta,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,5,6
KURUNCHI HOTEL,Veechu Parotta,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,5,7
KURUNCHI HOTEL,Chilly Parotta,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Parotta,,0,,5,8
KURUNCHI HOTEL,Meals,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Meals,,0,,7,1
KURUNCHI HOTEL,Gobi Fry,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
KURUNCHI HOTEL,Gobi Manchurian,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,2
KURUNCHI HOTEL,Kalan Chilly,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,3
KURUNCHI HOTEL,Paneer Chilly,,100,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,4
KURUNCHI HOTEL,Baby Corn Chilly,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,5
KURUNCHI HOTEL,Kalan Manchurian,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,6
KURUNCHI HOTEL,Paneer Manchurian,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,7
KURUNCHI HOTEL,Veg Rice,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,8,1
KURUNCHI HOTEL,Veg Briyani,,40,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,8,2
KURUNCHI HOTEL,Kalan Rice,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,8,3
KURUNCHI HOTEL,Gobi Rice,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,8,4
KURUNCHI HOTEL,Paneer Rice,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,8,5
KURUNCHI HOTEL,Tomato Rice,,30,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,8,6
KURUNCHI HOTEL,Curd Rice,,30,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,8,7
KURUNCHI HOTEL,Sambar Rice,,30,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice,,0,,8,8
KURUNCHI HOTEL,Veg Noodles,,70,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,9,1
KURUNCHI HOTEL,Kalan Noodles,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,9,2
KURUNCHI HOTEL,Gobi Noodles,,80,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,9,3
KURUNCHI HOTEL,Baby Corn Noodles,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,9,4
KURUNCHI HOTEL,Paneer Noodles,,90,,,,5,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,9,5
