restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KVR HOTELS - GOLDEN RESTAURANT,Idly 2Nos ,,37,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,1
KVR HOTELS - GOLDEN RESTAURANT,Medhuvadai,,28,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,2
KVR HOTELS - GOLDEN RESTAURANT,Masal Vadai,,28,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,3
KVR HOTELS - GOLDEN RESTAURANT,Poori/Aloo Masala,,70,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,4
KVR HOTELS - GOLDEN RESTAURANT,Aloo Paratha/curd/Pickle,,81,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,5
KVR HOTELS - GOLDEN RESTAURANT,Sambar Vada (2Nos),,56,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,6
KVR HOTELS - GOLDEN RESTAURANT,Curd Vada (2Nos),,56,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,7
KVR HOTELS - GOLDEN RESTAURANT,Plain Dosa,,70,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,8
KVR HOTELS - GOLDEN RESTAURANT,Plain Uthappam,,84,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,9
KVR HOTELS - GOLDEN RESTAURANT,Onion Dosa,,98,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,10
KVR HOTELS - GOLDEN RESTAURANT,MasalaDosa,,110,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,11
KVR HOTELS - GOLDEN RESTAURANT,Mushroom Masala Dosa,,123,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,12
KVR HOTELS - GOLDEN RESTAURANT,Panner Masala Dosa,,123,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,13
KVR HOTELS - GOLDEN RESTAURANT,Egg Dosa,,135,,,,10,Non Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,14
KVR HOTELS - GOLDEN RESTAURANT,Onion Uthappam,,105,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,15
KVR HOTELS - GOLDEN RESTAURANT,Ghee Uthappam,,98,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,16
KVR HOTELS - GOLDEN RESTAURANT,Masala Uthappam,,98,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,17
KVR HOTELS - GOLDEN RESTAURANT,Roast,,84,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,18
KVR HOTELS - GOLDEN RESTAURANT,Pongal /Sambar/Chutney,,70,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,19
KVR HOTELS - GOLDEN RESTAURANT,Rava Kitchadi,,84,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,20
KVR HOTELS - GOLDEN RESTAURANT,Rava Uppuma,,84,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,21
KVR HOTELS - GOLDEN RESTAURANT,Semiya Kitchadi,,70,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,22
KVR HOTELS - GOLDEN RESTAURANT,Channa Battura,,176,,,,10,Veg,,,07:00AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Tiffen Items,,0,,1,23
KVR HOTELS - GOLDEN RESTAURANT,Crispy Fried Vegetables,,181,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,1
KVR HOTELS - GOLDEN RESTAURANT,Gobi 65,,188,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,2
KVR HOTELS - GOLDEN RESTAURANT,Chilli Gobi,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,3
KVR HOTELS - GOLDEN RESTAURANT,Gobi Manchurian,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,4
KVR HOTELS - GOLDEN RESTAURANT,Gobi Masala,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,5
KVR HOTELS - GOLDEN RESTAURANT,Hydrabad Gobi,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,6
KVR HOTELS - GOLDEN RESTAURANT,Gobi Pepper Fry,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,7
KVR HOTELS - GOLDEN RESTAURANT,Mushroom 65,,188,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,8
KVR HOTELS - GOLDEN RESTAURANT,Mushroom Chilli,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,9
KVR HOTELS - GOLDEN RESTAURANT,Mushroom Munchurian,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,10
KVR HOTELS - GOLDEN RESTAURANT,Mushroom Salt & Pepper,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,11
KVR HOTELS - GOLDEN RESTAURANT,Mushroom Pepper Fry,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,12
KVR HOTELS - GOLDEN RESTAURANT,Veg Manchurian Dry,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,13
KVR HOTELS - GOLDEN RESTAURANT,Veg Spring Roll,,199,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,14
KVR HOTELS - GOLDEN RESTAURANT,Butter Vegetable,,126,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,15
KVR HOTELS - GOLDEN RESTAURANT,Chicken 65,,248,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,16
KVR HOTELS - GOLDEN RESTAURANT,Chicken Lolly Pop,,259,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,17
KVR HOTELS - GOLDEN RESTAURANT,Chicken Chukka,,312,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,18
KVR HOTELS - GOLDEN RESTAURANT,Chicken Varuval,,312,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,19
KVR HOTELS - GOLDEN RESTAURANT,Chicken Pepper Fry,,312,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,20
KVR HOTELS - GOLDEN RESTAURANT,Crispy Fried Chicken,,312,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,21
KVR HOTELS - GOLDEN RESTAURANT,Chicken Spring Roll,,252,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,22
KVR HOTELS - GOLDEN RESTAURANT,Chicken Manchurian,,312,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,23
KVR HOTELS - GOLDEN RESTAURANT,Chilli Chicken,,312,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,24
KVR HOTELS - GOLDEN RESTAURANT,Garlic Chicken,,312,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,25
KVR HOTELS - GOLDEN RESTAURANT,Lemon Coriander Chicken,,312,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,26
KVR HOTELS - GOLDEN RESTAURANT,Dragon Chicken,,323,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,27
KVR HOTELS - GOLDEN RESTAURANT,Schezwan Chicken,,280,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,28
KVR HOTELS - GOLDEN RESTAURANT,Ginger Chicken,,312,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,29
KVR HOTELS - GOLDEN RESTAURANT,Mutton Chukka,,350,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,30
KVR HOTELS - GOLDEN RESTAURANT,Mutton Pepper Fry,,350,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,31
KVR HOTELS - GOLDEN RESTAURANT,Mutton Varuval,,350,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,32
KVR HOTELS - GOLDEN RESTAURANT,Spicy Meat Balls,,322,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,33
KVR HOTELS - GOLDEN RESTAURANT,Fish 65,,280,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,34
KVR HOTELS - GOLDEN RESTAURANT,Fish Chilli,,356,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,35
KVR HOTELS - GOLDEN RESTAURANT,Fish Manchurian,,366,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,36
KVR HOTELS - GOLDEN RESTAURANT,Tawa Fish Fry,,280,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,37
KVR HOTELS - GOLDEN RESTAURANT,Mangolarian,,280,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,38
KVR HOTELS - GOLDEN RESTAURANT,Onion Fish Fry,,280,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,39
KVR HOTELS - GOLDEN RESTAURANT,Golden Fried Prawn,,322,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,40
KVR HOTELS - GOLDEN RESTAURANT,Prawn Pepper Fry,,336,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,41
KVR HOTELS - GOLDEN RESTAURANT,Prawn 65,,336,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,42
KVR HOTELS - GOLDEN RESTAURANT,Fish N Chips,,344,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,43
KVR HOTELS - GOLDEN RESTAURANT,Fish Finger,,333,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,44
KVR HOTELS - GOLDEN RESTAURANT,Kudal Fry,,366,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,45
KVR HOTELS - GOLDEN RESTAURANT,Kudal Varuval,,366,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,2,46
KVR HOTELS - GOLDEN RESTAURANT,Veg Meals,,188,,,,10,Veg,,,,,11:30AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,1
KVR HOTELS - GOLDEN RESTAURANT,Special Veg Meals,,257,,,,10,Veg,,,,,11:30AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,2
KVR HOTELS - GOLDEN RESTAURANT,Non Veg Meals,,468,,,,15,Non Veg,,,,,11:30AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,3
KVR HOTELS - GOLDEN RESTAURANT,North Indian Meals,,257,,,,10,Veg,,,,,11:30AM,03:00PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,3,4
KVR HOTELS - GOLDEN RESTAURANT,Fulka,,35,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,1
KVR HOTELS - GOLDEN RESTAURANT,Butter Fulka,,42,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,2
KVR HOTELS - GOLDEN RESTAURANT,Ghee Fulka,,42,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,3
KVR HOTELS - GOLDEN RESTAURANT,Roti,,49,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,4
KVR HOTELS - GOLDEN RESTAURANT,Plain Naan,,63,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,5
KVR HOTELS - GOLDEN RESTAURANT,Butter Naan,,70,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,6
KVR HOTELS - GOLDEN RESTAURANT,Garlic Naan,,70,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,7
KVR HOTELS - GOLDEN RESTAURANT,Cheese Naan,,70,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,8
KVR HOTELS - GOLDEN RESTAURANT,Aloo Paratha,,81,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,9
KVR HOTELS - GOLDEN RESTAURANT,Ceylon Paratha,,140,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,10
KVR HOTELS - GOLDEN RESTAURANT,Plain Kulcha,,70,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,11
KVR HOTELS - GOLDEN RESTAURANT,Masala Kulcha,,70,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,12
KVR HOTELS - GOLDEN RESTAURANT,Mix Veg Kulcha,,70,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Breads,,0,,4,13
KVR HOTELS - GOLDEN RESTAURANT,Veg Briyani,,181,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,5,1
KVR HOTELS - GOLDEN RESTAURANT,Mushroom Briyani,,181,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,5,2
KVR HOTELS - GOLDEN RESTAURANT,Plain Briyani,,181,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,5,3
KVR HOTELS - GOLDEN RESTAURANT,Egg Briyani,,236,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,5,4
KVR HOTELS - GOLDEN RESTAURANT,Chicken Briyani,,302,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,5,5
KVR HOTELS - GOLDEN RESTAURANT,Mutton Biriyani,,344,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,5,6
KVR HOTELS - GOLDEN RESTAURANT,Hydrabad Chicken Briyani ,,344,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,5,7
KVR HOTELS - GOLDEN RESTAURANT,Hydrabad Mutton Briyani,,387,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,5,8
KVR HOTELS - GOLDEN RESTAURANT,Nattukozhi Briyani,,322,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,5,9
KVR HOTELS - GOLDEN RESTAURANT,Plain Rice,,115,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice,,0,,6,1
KVR HOTELS - GOLDEN RESTAURANT,Sambar Rice,,84,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice,,0,,6,2
KVR HOTELS - GOLDEN RESTAURANT,Dhal Kitchadi,,96,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice,,0,,6,3
KVR HOTELS - GOLDEN RESTAURANT,Veg Pulao,,181,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice,,0,,6,4
KVR HOTELS - GOLDEN RESTAURANT,Jeera Pulao,,194,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice,,0,,6,5
KVR HOTELS - GOLDEN RESTAURANT,Peas Pulao,,181,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice,,0,,6,6
KVR HOTELS - GOLDEN RESTAURANT,Jeera Rice,,194,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice,,0,,6,7
KVR HOTELS - GOLDEN RESTAURANT,Cashew Pulao,,226,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Indian Rice,,0,,6,8
KVR HOTELS - GOLDEN RESTAURANT,Gobi Tikka,,248,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,1
KVR HOTELS - GOLDEN RESTAURANT,Aloo Tikka,,248,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,2
KVR HOTELS - GOLDEN RESTAURANT,Paneer Tikka,,223,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,3
KVR HOTELS - GOLDEN RESTAURANT,Murgh Malai Kebab,,280,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,4
KVR HOTELS - GOLDEN RESTAURANT,Tangri Kebab,,351,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,5
KVR HOTELS - GOLDEN RESTAURANT,Sikkandari Murgh,,280,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,6
KVR HOTELS - GOLDEN RESTAURANT,Tandoori Chicken Half,,178,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,7
KVR HOTELS - GOLDEN RESTAURANT,Tandoori Chicken Full,,364,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,8
KVR HOTELS - GOLDEN RESTAURANT,Chicken Tikka,,312,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,9
KVR HOTELS - GOLDEN RESTAURANT,Fish Tikka,,366,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tandoori,,0,,7,10
KVR HOTELS - GOLDEN RESTAURANT,Dal Fry,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,1
KVR HOTELS - GOLDEN RESTAURANT,Dal Tadka,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,2
KVR HOTELS - GOLDEN RESTAURANT,Dal Palak,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,3
KVR HOTELS - GOLDEN RESTAURANT,Mix Veg Curry,,181,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,4
KVR HOTELS - GOLDEN RESTAURANT,Mix Veg Khorma,,181,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,5
KVR HOTELS - GOLDEN RESTAURANT,Kadai Vegetables,,181,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,6
KVR HOTELS - GOLDEN RESTAURANT,Aloo Gobi Masala,,209,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,7
KVR HOTELS - GOLDEN RESTAURANT,Aloo Mutter,,221,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,8
KVR HOTELS - GOLDEN RESTAURANT,Green Peas Masala,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,9
KVR HOTELS - GOLDEN RESTAURANT,Channa Masala,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,10
KVR HOTELS - GOLDEN RESTAURANT,Paneer Butter Masala,,181,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,11
KVR HOTELS - GOLDEN RESTAURANT,Paneer Tikka Masala,,238,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,12
KVR HOTELS - GOLDEN RESTAURANT,Kadai Paneer ,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,13
KVR HOTELS - GOLDEN RESTAURANT,Palak Paneer,,205,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,14
KVR HOTELS - GOLDEN RESTAURANT,Vef Kofta,,209,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,15
KVR HOTELS - GOLDEN RESTAURANT,Mali Kofta Curry,,209,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,16
KVR HOTELS - GOLDEN RESTAURANT,Veg Nilgiri Khorma,,209,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,17
KVR HOTELS - GOLDEN RESTAURANT,Veg-Do-Pyaz,,209,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,18
KVR HOTELS - GOLDEN RESTAURANT,Veg Kolhapuri,,209,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,19
KVR HOTELS - GOLDEN RESTAURANT,Jalfrezi,,209,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,20
KVR HOTELS - GOLDEN RESTAURANT,Bhindi Masala,,209,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,21
KVR HOTELS - GOLDEN RESTAURANT,Bhindi Fry,,209,,,,10,Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,22
KVR HOTELS - GOLDEN RESTAURANT,Chicken Curry,,312,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,23
KVR HOTELS - GOLDEN RESTAURANT,Chicken Masala,,333,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,24
KVR HOTELS - GOLDEN RESTAURANT,Chicken Sambal,,310,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,25
KVR HOTELS - GOLDEN RESTAURANT,Hyderabad Chicken,,322,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,26
KVR HOTELS - GOLDEN RESTAURANT,Mutton Curry,,322,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,27
KVR HOTELS - GOLDEN RESTAURANT,Mutton Masala,,322,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,28
KVR HOTELS - GOLDEN RESTAURANT,Mutton Vindaloo,,322,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,29
KVR HOTELS - GOLDEN RESTAURANT,Mutton Hyderabad,,322,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,30
KVR HOTELS - GOLDEN RESTAURANT,Malabar Fish Curry,,350,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,31
KVR HOTELS - GOLDEN RESTAURANT,Kerala Fish Curry,,350,,,,10,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,32
