restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KVR HOTELS - GOLDEN RESTAURANT,Chicken 65,,140,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,21
KVR HOTELS - GOLDEN RESTAURANT,Chicken Lolly Pop,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,22
KVR HOTELS - GOLDEN RESTAURANT,Chicken Chukka,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,23
KVR HOTELS - GOLDEN RESTAURANT,Chicken Varuval,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,24
KVR HOTELS - GOLDEN RESTAURANT,Chicken Pepper Fry,,160,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,25
KVR HOTELS - GOLDEN RESTAURANT,Crispy Fried Chicken,,170,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,26
KVR HOTELS - GOLDEN RESTAURANT,Chicken Spring Roll,,170,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,27
KVR HOTELS - GOLDEN RESTAURANT,Chicken Manchurian,,175,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,28
KVR HOTELS - GOLDEN RESTAURANT,Chilli Chicken,,175,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,29
KVR HOTELS - GOLDEN RESTAURANT,Garlic Chicken,,175,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,30
KVR HOTELS - GOLDEN RESTAURANT,Lemon Coriander Chicken,,175,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,31
KVR HOTELS - GOLDEN RESTAURANT,Schezwan Chicken,,170,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,33
KVR HOTELS - GOLDEN RESTAURANT,Ginger Chicken,,170,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,34
KVR HOTELS - GOLDEN RESTAURANT,Mutton Chukka,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,35
KVR HOTELS - GOLDEN RESTAURANT,Mutton Pepper Fry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,36
KVR HOTELS - GOLDEN RESTAURANT,Mutton Varuval,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,37
KVR HOTELS - GOLDEN RESTAURANT,Fish 65,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,39
KVR HOTELS - GOLDEN RESTAURANT,Fish Chilli,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,40
KVR HOTELS - GOLDEN RESTAURANT,Fish Manchurian,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,41
KVR HOTELS - GOLDEN RESTAURANT,Fish Bucket,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,42
KVR HOTELS - GOLDEN RESTAURANT,Fish Poriyal,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,43
KVR HOTELS - GOLDEN RESTAURANT,Onion Fish Fry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,46
KVR HOTELS - GOLDEN RESTAURANT,Fish Finger,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,51
KVR HOTELS - GOLDEN RESTAURANT,Kudal Fry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,52
KVR HOTELS - GOLDEN RESTAURANT,Kudal Varuval,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Starters,,0,,2,53
KVR HOTELS - GOLDEN RESTAURANT,Veg Meals,,95,,,,10,Veg,,,,,12.30PM,03.30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,4,1
KVR HOTELS - GOLDEN RESTAURANT,Manpanai Fish Kulambu Meals,"Attukal Soup,Athirampatti Fish Kulambu,Rice,Rasam,Curd,Sweet",250,,,,15,Non Veg,,,,,12.30PM,03.30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,4,3
KVR HOTELS - GOLDEN RESTAURANT,KaraiKudi Mutton Kulambu Meals,"Attukal Soup,KaraiKudi Mutton Kulambu,ChittenaduRice,Rasam,Curd,Sweet",250,,,,15,Non Veg,,,,,12.30PM,03.30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,4,3
KVR HOTELS - GOLDEN RESTAURANT,NattuKozhi Kulambu Meals,"NattuKozhi Melaku Kulambu,Attukal Soup,Rice,Rasam,Curd,Sweet",250,,,,15,Non Veg,,,,,12.30PM,03.30PM,,,"1,2,3,4,5,6,7",1,,Lunch,,0,,4,3
KVR HOTELS - GOLDEN RESTAURANT,Dal Fry,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,1
KVR HOTELS - GOLDEN RESTAURANT,Dal Tadka,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,2
KVR HOTELS - GOLDEN RESTAURANT,Mix Veg Curry,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,4
KVR HOTELS - GOLDEN RESTAURANT,Mix Veg Khorma,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,5
KVR HOTELS - GOLDEN RESTAURANT,Kadai Vegetables,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,6
KVR HOTELS - GOLDEN RESTAURANT,Green Peas Masala,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,9
KVR HOTELS - GOLDEN RESTAURANT,Paneer Butter Masala,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,11
KVR HOTELS - GOLDEN RESTAURANT,Kadai Paneer ,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,15
KVR HOTELS - GOLDEN RESTAURANT,Palak Paneer,,130,,,,10,Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,16
KVR HOTELS - GOLDEN RESTAURANT,Chicken Curry,,170,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,27
KVR HOTELS - GOLDEN RESTAURANT,Chicken Khorma,,170,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,28
KVR HOTELS - GOLDEN RESTAURANT,Chicken Masala,,170,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,29
KVR HOTELS - GOLDEN RESTAURANT,Hyderabad Chicken,,170,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,31
KVR HOTELS - GOLDEN RESTAURANT,Mutton Curry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,32
KVR HOTELS - GOLDEN RESTAURANT,Mutton Masala,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,33
KVR HOTELS - GOLDEN RESTAURANT,Mutton Hyderabad,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,36
KVR HOTELS - GOLDEN RESTAURANT,Kerala Fish Curry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,40
KVR HOTELS - GOLDEN RESTAURANT,Fish Curry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,41
KVR HOTELS - GOLDEN RESTAURANT,Fish Masala,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Main Courses,,0,,8,42
KVR HOTELS - GOLDEN RESTAURANT,Kudal Kuzhambu,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Special Dishes,,0,,10,1
KVR HOTELS - GOLDEN RESTAURANT,Kudal Varuval,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Special Dishes,,0,,10,2
KVR HOTELS - GOLDEN RESTAURANT,Kudal Egg Fry,,210,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Special Dishes,,0,,10,3
KVR HOTELS - GOLDEN RESTAURANT,Nattukozhi Karaikudi Varuval Dry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Special Dishes,,0,,10,10
KVR HOTELS - GOLDEN RESTAURANT,Nattukozhi Milagu Varuval Dry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Special Dishes,,0,,10,11
KVR HOTELS - GOLDEN RESTAURANT,Nattukozhi Pallipalayam Dry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Special Dishes,,0,,10,12
KVR HOTELS - GOLDEN RESTAURANT,Nattukozhi Uppu Curry Dry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Special Dishes,,0,,10,13
KVR HOTELS - GOLDEN RESTAURANT,Nattukozhi Paoondu Varuval Dry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Special Dishes,,0,,10,14
KVR HOTELS - GOLDEN RESTAURANT,Nattukozhi Roast Dry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Special Dishes,,0,,10,15
KVR HOTELS - GOLDEN RESTAURANT,Nattukozhi Varutha Curry,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Gravy'S,,0,,9,1
KVR HOTELS - GOLDEN RESTAURANT,Nattukozhi Milagu Kuzhambu,,200,,,,10,Non Veg,,,,,12.30PM,03.30PM,07.00PM,09.00PM,"1,2,3,4,5,6,7",1,,Gravy'S,,0,,9,2
