restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KVR HOTELS - GOLDEN RESTAURANT,Chettinad Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,1
KVR HOTELS - GOLDEN RESTAURANT,Malli Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,2
KVR HOTELS - GOLDEN RESTAURANT,Pudhina Dosa,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,3
KVR HOTELS - GOLDEN RESTAURANT,Aachi Masala Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,4
KVR HOTELS - GOLDEN RESTAURANT,Vazhaipoo Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,5
KVR HOTELS - GOLDEN RESTAURANT,Spring Roll Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,6
KVR HOTELS - GOLDEN RESTAURANT,Noodles Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,7
KVR HOTELS - GOLDEN RESTAURANT,Cauliflower Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,8
KVR HOTELS - GOLDEN RESTAURANT,Mushroom Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,9
KVR HOTELS - GOLDEN RESTAURANT,Butter Podi Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,10
KVR HOTELS - GOLDEN RESTAURANT,Thakkali Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,11
KVR HOTELS - GOLDEN RESTAURANT,Rava Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,12
KVR HOTELS - GOLDEN RESTAURANT,Ragi Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,13
KVR HOTELS - GOLDEN RESTAURANT,Kothumai Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,14
KVR HOTELS - GOLDEN RESTAURANT,Beerkangai Dosai,,30,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Dosa Special Offers,,1,,1,15
KVR HOTELS - GOLDEN RESTAURANT,Mini Tiffen,"Idly, Pongal Or Kichadi Or Poori Masal, Vadai, Dosai, Filter Coffee",60,,,,10,Veg,,,07:30AM,10:30AM,,,,,"1,2,3,4,5,6,7",1,,Combo Offers,,1,,1,16
KVR HOTELS - GOLDEN RESTAURANT,Non Veg Kida Viruthu,"Aatukaal Soup, Meals, Karaikudi Mutton Varuval, Kozhi Milagu Kari, Kerala Meen Kulambu, Mutton Elumbu Kulambu, Thenkasi Kozhi Kulambu, Egg Masala, Rasam, Thayir, Sweet.",200,,,,10,Non Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo Offers,,1,,1,17
KVR HOTELS - GOLDEN RESTAURANT,Veg Combo 1,"Idly-2, Special Dosa, Cauliflower Chilly, Chappathi Or Kulipaniyaram, Mixed Veg Curry, Sukku Paal",100,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo Offers,,1,,1,18
KVR HOTELS - GOLDEN RESTAURANT,Veg Combo 2,"Special Dosa, Tandoori Kothumai Parotta, Mixed Veg Curry Or Kalan Varutha Curry, Butter Naan, Spring Roll, Ice Cream",150,,,,10,Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo Offers,,1,,1,19
KVR HOTELS - GOLDEN RESTAURANT,Non Veg Combo 1,"Aatukaal Soup, Idly-2, Kal Dosai, Kulipanyaram-2, Chapathi, Chicken Kulambu, Mutton Kulambu, Any Egg Dish",100,,,,10,Non Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo Offers,,1,,1,20
KVR HOTELS - GOLDEN RESTAURANT,Non Veg Combo 2,"Idly-2, Kaldosai-2, Butter Naan Or Phulka, Karaikudi Kozhi Kulambu, Any Egg Dish, Chicken Kulambu, Mutton Kulambu",150,,,,10,Non Veg,06:00PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo Offers,,1,,1,21
