restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KARUR BRIYANI CENTRE,Chicken Biriyani,,70,,,,5,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,1
KARUR BRIYANI CENTRE,Plain Chicken Biriyani,,50,,,,5,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,2
KARUR BRIYANI CENTRE,Mutton Biriyani,,140,,,,5,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,3
KARUR BRIYANI CENTRE,Plain Mutton Biriyani,,90,,,,5,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,4
KARUR BRIYANI CENTRE,Kaadai Biriyani,,130,,,,5,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,5
KARUR BRIYANI CENTRE,Mushroom Biriyani,,100,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Briyani,,0,,1,6
KARUR BRIYANI CENTRE,Veg Fried Fried Rice,,50,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,4,1
KARUR BRIYANI CENTRE,Egg Fried Rice,,60,,,,5,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,4,2
KARUR BRIYANI CENTRE,Chicken Fried Rice,,80,,,,5,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,4,3
KARUR BRIYANI CENTRE,Veg Noodles,,50,,,,5,Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,5,1
KARUR BRIYANI CENTRE,Egg Noodles,,60,,,,5,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,5,2
KARUR BRIYANI CENTRE,Chicekn Noodles,,80,,,,5,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,5,3
KARUR BRIYANI CENTRE,Chicken Sukka,,70,,,,5,Non Veg,12:00PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Gravy's,,0,,3,1
