restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
KHANNA FIESTA - ZING,Vegetable Crispy Mini Spring Roll,,199,,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Between The Meals,,0,
KHANNA FIESTA - ZING,Chicken Crispy Mini Spring Roll,,209,,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Between The Meals,,0,
KHANNA FIESTA - ZING,Vegetable Nuggets,,199,,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Between The Meals,,0,
KHANNA FIESTA - ZING,Chicken Nuggets,,209,,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Between The Meals,,0,
KHANNA FIESTA - ZING,Assorted Vegetable Pakodas Platter,,104,,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Between The Meals,,0,
KHANNA FIESTA - ZING,Onion Garam Pakoda,,136,,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Between The Meals,,0,
KHANNA FIESTA - ZING,Fish Fingers,,157,,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Between The Meals,,0,
KHANNA FIESTA - ZING,Vegetable Sandwich,,209,,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Between The Meals,,0,
KHANNA FIESTA - ZING,Chicken Sandwich,,251,,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Between The Meals,,0,
KHANNA FIESTA - ZING,Vegetable Hawaiian Salad,,146,,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,
KHANNA FIESTA - ZING,Chicken Hawaiian Salad,,136,,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,
KHANNA FIESTA - ZING,Veg Clear Soup,,146,,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Salads,,0,
KHANNA FIESTA - ZING,Chicken Clear Soup,,136,,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
KHANNA FIESTA - ZING,Sweet Corn Veg Soup,,146,,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
KHANNA FIESTA - ZING,Sweet Corn Chicken Soup,,136,,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
KHANNA FIESTA - ZING,Veg Hot & Sour Soup,,146,,Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
KHANNA FIESTA - ZING,Chicken Hot & Sour Soup,,136,,Non Veg,,,,,12:00PM,3:00PM,7:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,
