restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
KOVAI RASHITHA BAKERY,Bombay Mixture (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,1,1
KOVAI RASHITHA BAKERY,Poondu Mixture (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,1,2
KOVAI RASHITHA BAKERY,Avul Mixture (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,1,2
KOVAI RASHITHA BAKERY,Corn Mixture (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,1,1
KOVAI RASHITHA BAKERY,Butter Muruku (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,1,1
KOVAI RASHITHA BAKERY,Chinna Vengayam Muruku (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,1,2
KOVAI RASHITHA BAKERY,Ribbon Murukku (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,2,1
KOVAI RASHITHA BAKERY,Poondu Seeval (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,2,1
KOVAI RASHITHA BAKERY,Masal Kadalai (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,2,1
KOVAI RASHITHA BAKERY,Milagu Sev (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,2,1
KOVAI RASHITHA BAKERY,Pudina Chilli (250 grams,,71,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,2,1
KOVAI RASHITHA BAKERY,Chilli Chips (250 grams),,71,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,2,1
KOVAI RASHITHA BAKERY,Nenthiram Banana Chips (250 grams),,89,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,3,1
KOVAI RASHITHA BAKERY,Pavarkai Chips (250 grams),,77,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,3,1
KOVAI RASHITHA BAKERY,Potato Chips (250 grams),,107,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,3,1
KOVAI RASHITHA BAKERY,Maravalli Chips (250 grams),,48,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,3,1
KOVAI RASHITHA BAKERY,Boondhi (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,3,1
KOVAI RASHITHA BAKERY,Kaara Sev (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,3,1
KOVAI RASHITHA BAKERY,Andhra Ring Muruku (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Savouries,,0,,3,1
KOVAI RASHITHA BAKERY,Laddu (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,3,1
KOVAI RASHITHA BAKERY,Jilebi (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,4,1
KOVAI RASHITHA BAKERY,Mysoorpa (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,4,1
KOVAI RASHITHA BAKERY,Baadusha (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,4,1
KOVAI RASHITHA BAKERY,Milk Peda (250 grams),,59,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,4,1
KOVAI RASHITHA BAKERY,Ajmmer Paalkova (250 grams),,107,,,,0,0,veg,08:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Sweets,,0,,4,1
