restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
SRI KRISHANAN CHAT & FAST FOOD,Samosa (2Nos),,30,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,1
SRI KRISHANAN CHAT & FAST FOOD,Cutlet(2Nos),,40,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,2
SRI KRISHANAN CHAT & FAST FOOD,PaniPuri,,30,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,3
SRI KRISHANAN CHAT & FAST FOOD,Masala Puri,,40,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,4
SRI KRISHANAN CHAT & FAST FOOD,Bhel Puri,,40,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,5
SRI KRISHANAN CHAT & FAST FOOD,Dahi Puri,,60,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,6
SRI KRISHANAN CHAT & FAST FOOD,Dahi Bhel Puri,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,7
SRI KRISHANAN CHAT & FAST FOOD,Dahi Papadi Chat,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,8
SRI KRISHANAN CHAT & FAST FOOD,Dhai Samosa,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,9
SRI KRISHANAN CHAT & FAST FOOD,Dhai Cutlet,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,10
SRI KRISHANAN CHAT & FAST FOOD,Sev Puri,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,11
SRI KRISHANAN CHAT & FAST FOOD,Aalu Puri,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,12
SRI KRISHANAN CHAT & FAST FOOD,Tomato Chat,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,13
SRI KRISHANAN CHAT & FAST FOOD,Chana Masala,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,14
SRI KRISHANAN CHAT & FAST FOOD,Samosa Masala,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,15
SRI KRISHANAN CHAT & FAST FOOD,Cutlet Masala,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,16
SRI KRISHANAN CHAT & FAST FOOD,Bread Chana,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,1,17
SRI KRISHANAN CHAT & FAST FOOD,Pav Bhaji,,60,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,2,1
SRI KRISHANAN CHAT & FAST FOOD,Exra Pav,,35,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,2,2
SRI KRISHANAN CHAT & FAST FOOD,Mushroom Manchurin,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese,,0,,2,3
SRI KRISHANAN CHAT & FAST FOOD,Gobi Manchurin,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese,,0,,2,4
SRI KRISHANAN CHAT & FAST FOOD,Mushroom Chilli,,60,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese,,0,,2,5
SRI KRISHANAN CHAT & FAST FOOD,Cauliflower Chilli,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese,,0,,2,6
SRI KRISHANAN CHAT & FAST FOOD,Veg Noodles,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese,,0,,2,7
SRI KRISHANAN CHAT & FAST FOOD,Mushroom Noodles,,70,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese,,0,,2,8
SRI KRISHANAN CHAT & FAST FOOD,Gobi Noodles,,50,,,,5,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chinese,,0,,2,9
