restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
LASSI BAY,Sweet Lassi,,55,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,1,1
LASSI BAY,Banana Lassi,,70,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,1,2
LASSI BAY,Mango Lassi,,70,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,2,1
LASSI BAY,Pinapple Lassi,,70,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,2,2
LASSI BAY,Chocolate Lassi,,70,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,2,3
LASSI BAY,Watermelon Lassi,,70,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,2,4
LASSI BAY,Orange Lassi,,70,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,2,5
LASSI BAY,Kiwi Lassi,,70,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,2,5
LASSI BAY,Black Currant Lassi,,70,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,2,5
LASSI BAY,Mixed Fruit Lassi,,80,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,3,1
LASSI BAY,Dry Fruit Lassi,,80,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,3,2
LASSI BAY,Strawberry Lassi,,80,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,3,3
LASSI BAY,Gulkand Lassi,,95,,,,0,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,,3,4
