restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
LASSI SHOP,Sweet Lassi,,40,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Banana Lassi,,40,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Mango Lassi,,50,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Mango banana Lassi,,50,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Fruit Lassi,,50,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Saffron Lassi,,60,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Dry Fruit Lassi,,60,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Chocolate Lassi,,60,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Strawberry Lassi,,60,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Pista Lassi,,60,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Blueberry Lassi,,60,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Black Currant Lassi,,60,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Lassi,,0,
LASSI SHOP,Falooda,,70,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Falooda,,0,
LASSI SHOP,Kesar Falooda,,80,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Falooda,,0,
LASSI SHOP,Kulfi Falooda,,80,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Falooda,,0,
LASSI SHOP,Delhi Style Falooda,,100,5,Veg,11:30AM,10:15PM,,,,,,,"1,2,3,4,5,6,7",1,,Falooda,,0,
