restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,item_status,image,main_cat,sub_cat,recommended,ingredients
Limra Garden,Veg Cheese Stick,,50,0,Veg,10:30.00am,10:00.00pm,1,,Burger Veg,,0,Bread
Limra Garden,Veg Burger,,50,0,Veg,10:30.00am,10:00.00pm,1,,Burger Veg,,0,Bread
Limra Garden,Veg Hot Dog,,60,0,Veg,10:30.00am,10:00.00pm,1,,Burger Veg,,0,Bread
Limra Garden,Bun Sandwich,,30,0,Veg,10:30.00am,10:00.00pm,1,,Burger Veg,,0,Bread
Limra Garden,Bun Cheese Sandwich,,50,0,Veg,10:30.00am,10:00.00pm,1,,Burger Veg,,0,Bread
Limra Garden,Veg Aalo Tikki,,50,0,Veg,10:30.00am,10:00.00pm,1,,Burger Veg,,0,Bread
Limra Garden,Chilli Aalo Patty,,50,0,Veg,10:30.00am,10:00.00pm,1,,Burger Veg,,0,Bread
Limra Garden,Cheese Aalo Burger,,60,0,Veg,10:30.00am,10:00.00pm,1,,Burger Veg,,0,Bread
Limra Garden,Paneer Burger,,60,0,Veg,10:30.00am,10:00.00pm,1,,Burger Veg,,0,Bread
Limra Garden,Paneer Sandwich,,70,0,Veg,10:30.00am,10:00.00pm,1,,Burger Veg,,0,Bread
Limra Garden,Chicken Cheese Stick,,50,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Chicken Burger,,65,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Chicken Burger Spl,,90,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Chicken Burger Patty,,60,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Double Burger Patty,,90,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Chicken Burger Club,,70,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Chicken Sandwich,,70,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Chicken Sausage Sandwich,,70,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Chicken Sausage,,70,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Chicken Hot Dog,,65,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Chicken Pepper Sausage,,75,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Chicken Italian Sausage,,80,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Chicken Nuggets Burger,,60,0,Non Veg,10:30.00am,10:00.00pm,1,,Chicken,,0,Chicken
Limra Garden,Beef Burger,,70,0,Non Veg,10:30.00am,10:00.00pm,1,,Beef,,0,Beef
Limra Garden,Beef Hot Dog,,65,0,Non Veg,10:30.00am,10:00.00pm,1,limra_beef_hot_dog.jpg,Beef,,1,Beef
