restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
MADRAS SPICY,Plain Briyani,,80,10,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,
MADRAS SPICY,Chicken Briyani,,120,10,Non Veg,,,,,12:00PM,04:00PM,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,
MADRAS SPICY,Hot & Sour Veg Soup,,60,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
MADRAS SPICY,Sweet Corn Veg Soup,,60,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
MADRAS SPICY,Veg Clear Soup,,50,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
MADRAS SPICY,Mushroom Cream Veg Soup,,60,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
MADRAS SPICY,Chicken Hot & Sour,,100,10,Non Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
MADRAS SPICY,Sweet Corn Chicken Soup,,80,10,Non Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
MADRAS SPICY,Chicken Clear Soup,,70,10,Non Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
MADRAS SPICY,Mixed Sea Food Soup,,90,10,Non Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
MADRAS SPICY,Chicken & Cream Soup,,80,10,Non Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,
MADRAS SPICY,Paneer Dry Fry,,80,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
MADRAS SPICY,Baby Corn Golden Fry,,80,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
MADRAS SPICY,Gopi Dry Fry,,70,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
MADRAS SPICY,Mushroom Dry Fry,,80,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
MADRAS SPICY,Paneer Chilli,,80,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
MADRAS SPICY,Chilli Gobi,,70,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
MADRAS SPICY,Mushroom Chilli,,80,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
MADRAS SPICY,Veg Lollypop,,100,10,Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
MADRAS SPICY,Chicken 65 Boneless,,120,10,Non Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
MADRAS SPICY,Chicken Chettinadu,,130,10,Non Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
MADRAS SPICY,Chicken Chukka,,120,10,Non Veg,11:00AM,11:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,
