restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
MAHINDRA FOOD COURT,Veg Noodles,,30,,,,5,5,Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,3,1
MAHINDRA FOOD COURT,Egg Noodles,,40,,,,5,5,Non Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,3,2
MAHINDRA FOOD COURT,Chicken Noodles,,50,,,,5,5,Non Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,,3,3
MAHINDRA FOOD COURT,Veg  Fried Rice,,30,,,,5,5,Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,2,1
MAHINDRA FOOD COURT,Egg Fried Rice,,40,,,,5,5,Non Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,2,2
MAHINDRA FOOD COURT,Chicken Fried Rice,,50,,,,5,5,Non Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,,2,3
MAHINDRA FOOD COURT,Gobi Chilli 65,,25,,,,5,5,Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,1
MAHINDRA FOOD COURT,Chicken 65,,30,,,,5,5,Non Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,2
MAHINDRA FOOD COURT,Lolly Pop (2 Pcs),,30,,,,5,5,Non Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,3
MAHINDRA FOOD COURT,Veg Ball Manchurian,,30,,,,5,5,Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,4
MAHINDRA FOOD COURT,Gobi Manchurian,,35,,,,5,5,Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,5
MAHINDRA FOOD COURT,Chicken Manchurian,,50,,,,5,5,Non Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,6
MAHINDRA FOOD COURT,Chicken Manchurian Boneless,,70,,,,5,5,Non Veg,06:30PM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Starters,,0,,1,7
