restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
MANNA BIRIYANI,Nattu Kozhi Bucket Biriyani (7 Nos),,900,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Corner,,0,
MANNA BIRIYANI,Mutton Bucket Biriyani (7 Nos),,800,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Corner,,0,
MANNA BIRIYANI,Chicken Bucket Biriyani (7 Nos),,600,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Corner,,0,
MANNA BIRIYANI,Nattu Kozhi Jumbo Biriyani (5 Nos),,600,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Corner,,0,
MANNA BIRIYANI,Mutton Jumbo Biriyani (5 Nos),,550,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Corner,,0,
MANNA BIRIYANI,Chicken Jumbo Biriyani (5 Nos),,450,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Corner,,0,
MANNA BIRIYANI,Nattu Kozhi Family Biriyani (3 Nos),,300,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Corner,,0,
MANNA BIRIYANI,Mutton Family Biriyani (3 Nos),,300,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Corner,,0,
MANNA BIRIYANI,Chicken Family Biriyani (3 Nos),,250,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani Corner,,0,
MANNA BIRIYANI,Nattu Kozhi Biriyani,,130,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Single Biriyani,,0,
MANNA BIRIYANI,Mutton Biriyani,Without Egg,120,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Single Biriyani,,0,
MANNA BIRIYANI,Chicken Biriyani,Without Egg,100,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Single Biriyani,,0,
MANNA BIRIYANI,Egg Biriyani,,60,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Single Biriyani,,0,
MANNA BIRIYANI,Plain Biriyani,,50,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Single Biriyani,,0,
MANNA BIRIYANI,Mixed Fried Rice,,100,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
MANNA BIRIYANI,Schezwan Fried Rice,,90,0,Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
MANNA BIRIYANI,Chicken Fried Rice,,80,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
MANNA BIRIYANI,Egg Fried Rice,,60,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
MANNA BIRIYANI,Veg Fried Rice,,50,0,Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Fried Rice,,0,
MANNA BIRIYANI,Mixed Noodles,,100,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,
MANNA BIRIYANI,Schezwan Noodles,,90,0,Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,
MANNA BIRIYANI,Chicken Noodles,,80,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,
MANNA BIRIYANI,Egg Noodles,,60,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,
MANNA BIRIYANI,Veg Noodles,,50,0,Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Noodles,,0,
MANNA BIRIYANI,Idly,,10,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Parotta,,15,0,Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Egg Kothu Parotta,,60,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Chicken Kothu Parotta,,80,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Plain Dosai,,20,0,Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Egg Dosai,,40,0,Non Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Mutton Keema Dosai,,80,0,Non Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Chicken Keema Dosai,,70,0,Non Veg,,,,,,,06:00PM,11:00PM,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Roti,,20,0,Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Naan,,25,0,Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Butter Naan,,30,0,Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Omlet,,30,0,Non Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Tiffen,,0,
MANNA BIRIYANI,Paneer Butter Masala,,130,0,Veg,09:30AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Curries,,0,
