restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
MARGHERITALY ,Premium Ice Cream Scoop,,50,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Cream Scoops,,0,,1,1
MARGHERITALY ,Royal Ice Cream Scoop,,60,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Ice Cream Scoops,,0,,1,2
MARGHERITALY ,Plain Waffle,,100,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Waffles,,0,,8,1
MARGHERITALY ,Waffle With Ice Cream,,150,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Fresh Waffles,,0,,8,2
MARGHERITALY ,Chocolate Sauce,,15,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Natural Toppings,,0,,9,1
MARGHERITALY ,Caramel Sauce ,,15,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Natural Toppings,,0,,9,2
MARGHERITALY ,Strawberry Sauce,,15,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Natural Toppings,,0,,9,3
MARGHERITALY ,Natural Honey,,20,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Natural Toppings,,0,,9,4
MARGHERITALY ,Roasted Nuts,,30,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Natural Toppings,,0,,9,5
MARGHERITALY ,Fresh Fruits,,20,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Natural Toppings,,0,,9,6
MARGHERITALY ,Chocolate Shavings,,20,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Natural Toppings,,0,,9,7
MARGHERITALY ,Brownie Toppings,,30,,,,0,0,Veg,10:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Natural Toppings,,0,,9,8
