restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
MEAT AND EAT,Grill Chicken Variety Combo 4,Classic fried Chicken Assorted (4Pcs) Grill Chicken Spicy Drumstick (4pcs),734,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Variety Combo,,0,,1,1
MEAT AND EAT,Grill Chicken Variety Combo 3,Classic fried Chicken drumstick (4Pcs) Grill Chicken Spicy Drumstick (4pcs),709,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Variety Combo,,0,,1,2
MEAT AND EAT,Grill Chicken Variety Combo 2,"Grill Chicken Spicy Drumstick (4pcs)Chicken flamey Wings (4pcs),Chicken spring roll (4pcs)",449,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Variety Combo,,0,,1,3
MEAT AND EAT,Grill Chicken variety Combo 1,Grill Chicken Spicy drumstick (2pcs)Grill Chicken flamey wings(4pcs)1pcs Grill Chicken Whole legs,449,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Variety Combo,,0,,1,4
MEAT AND EAT,Grill Chicken Spicy Drumstick (12pcs),,1099,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Spicy Drumstick,,0,,2,1
MEAT AND EAT,Grill Chicken Spicy Drumstick (8pcs),,749,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Spicy Drumstick,,0,,2,2
MEAT AND EAT,Grill Chicken Spicy Drumstick 4pcs),,384,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Spicy Drumstick,,0,,2,3
MEAT AND EAT,Grill Chicken Spicy Drumstick (2pcs),,199,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Spicy Drumstick,,0,,2,4
MEAT AND EAT,Grill Chicken Flamey Wings(20pcs),,609,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Flamey Wings,,0,,3,9
MEAT AND EAT,Grill Chicken Flamey Wings(12pcs),,384,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Flamey Wings,,0,,3,10
MEAT AND EAT,Grill Chicken Flamey Wings(4pcs),,129,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Flamey Wings,,0,,3,11
MEAT AND EAT,Grill Chicken Fiery Whole Leg(2pcs),,270,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Fiery,,0,,4,12
MEAT AND EAT,Grill Chicken Fiery Leg Quarter(1pcs),,140,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Grill Chicken Fiery,,0,,4,12
MEAT AND EAT,Chicken Spring Roll Bucket(20pcs),,510,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Spring Roll,,0,,5,13
MEAT AND EAT,Chicken Spring roll(4pcs),,110,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Spring Roll,,0,,6,14
MEAT AND EAT,Kiddy Veg Burger,,39,,,,0,Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Burger,,0,,7,15
MEAT AND EAT,Classic Veg Burger,,99,,,,0,Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Burger,,0,,7,16
MEAT AND EAT,Mac N Cheese Burger,,144,,,,0,Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Burger,,0,,7,17
MEAT AND EAT,Panner Cheese Burst Burger,,169,,,,0,Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Burger,,0,,7,18
MEAT AND EAT,Veg Super Twin Burger,,199,,,,0,Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Burger,,0,,7,7
MEAT AND EAT,Chicken Tikka Burger,,149,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Burger,,0,,8,1
MEAT AND EAT,Grill Chicken Burger,,139,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Burger,,0,,8,2
MEAT AND EAT,Kiddy Chicken Burger,,69,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Burger,,0,,8,3
MEAT AND EAT,Little Dia Chicken Burger,,79,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Burger,,0,,8,3
MEAT AND EAT,Classic Chicken Burger,,114,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Burger,,0,,8,4
MEAT AND EAT,Tandoori Chicken Burger,,129,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Burger,,0,,8,5
MEAT AND EAT,Chicken Cheese Burst Burger,,159,,,,0,Non Veg,09:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Burger,,0,,8,6
