restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
MEENAKSHI TOYS,Caterpillar 55 CM,,262.5,252,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Fancy Dog 30 CM,,325,312,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,2
MEENAKSHI TOYS,Fancy Mickey Mouse Girl 20 CM,,275,264,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,2
MEENAKSHI TOYS,Spider Man Toy 38 CM,,350,336,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Chotta Bheem Toy 30 CM,,156.25,150,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Pikachi Toy 20 CM,,250,240,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Dog Soft Toy 30 CM,,250,240,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Deer Soft Toy 30 CM,,250,240,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Girafee Soft Toy 35 CM,,400,384,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Fancy Dog 20 CM,,225,216,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Fancy Mickey Toy 40 CM,,687.5,660,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Pooch Soft Toy 27 CM,,287.5,276,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Fancy Elephant Toy 35 CM,,437.5,420,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Fancy T-shirt Toy 36 CM,,562.5,540,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Panda Soft Toy 60 CM,,1062.5,1020,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Candy Molly Soft Toy 40 CM,,350,336,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Mickey Mouse Soft Toy 40 CM,,650,624,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Quality Toys,,1,,1,1
MEENAKSHI TOYS,Wooden Puzzle Activities Toy Numbers with Shapes,,350,336,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Activity Toys,,1,,1,1
MEENAKSHI TOYS,Wooden Puzzle Activities Toy Numbers only ,,287.5,276,23.08.21,31.12.22,0,0,veg,08:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Activity Toys,,1,,1,1
