restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
MM BIRIYANI,Chicken Biriyani,,99,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,1,1
MM BIRIYANI,Chiceken 65 Biriyani,,110,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,2,1
MM BIRIYANI,Plain Biriyani,,75,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,3,1
MM BIRIYANI,Chicken Biriyani + 2 Chicken Leg Pc,,249,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo Offer,,0,,4,1
MM BIRIYANI,2 Plain Biriyani + 2 plate Boneless 65,,299,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo Offer,,0,,5,1
MM BIRIYANI,2 Plain Biriyani + 2 Plate  Chicken 65 + 1 Chicken Leg Pc,,349,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo Offer,,0,,6,1
MM BIRIYANI,Chicken 65 Bone,,60,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,1,2
MM BIRIYANI,Chicken 65 Boneless,,80,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,2,2
MM BIRIYANI,Chicken Lollipop,,79,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,3,2
MM BIRIYANI,Chicken Leg Pc,,89,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,3,2
MM BIRIYANI,Chicken Varuval,,149,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Starters,,0,,3,2
MM BIRIYANI,Plain Biriyani with Egg,,90,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,3,2
MM BIRIYANI,Chicken 65 Biriyani,,110,,,,0,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,3,2
