restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
MUMBAI KULFI,Froz'S Coffee,,29,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Candy,,0,
MUMBAI KULFI,Chocolics,,30,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Candy,,0,
MUMBAI KULFI,Butter Scotch,,35,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Candy,,0,
MUMBAI KULFI,Roasted Peanut,,35,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Candy,,0,
MUMBAI KULFI,Creamy Vannila,,45,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Candy,,0,
MUMBAI KULFI,Blueberry,,45,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Stick,,0,
MUMBAI KULFI,Strawberry,,50,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Stick,,0,
MUMBAI KULFI,Black Current,,50,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Stick,,0,
MUMBAI KULFI,Rose And Nuts,,50,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Stick,,0,
MUMBAI KULFI,Pistachio,,50,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Stick,,0,
MUMBAI KULFI,Choco Nuts,,50,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Stick,,0,
MUMBAI KULFI,Pan Darbar,,50,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Premium Stick,,0,
MUMBAI KULFI,Traditional Malai,,55,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Stick,,0,
MUMBAI KULFI,Kaju Draksh,,50,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Stick,,0,
MUMBAI KULFI,Special Kesar Pista,,55,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Stick,,0,
MUMBAI KULFI,Roasted Kaju Badam,,55,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Stick,,0,
MUMBAI KULFI,Roasted Almond,,50,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Classic Stick,,0,
MUMBAI KULFI,Banana,,50,0,,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Natural Stick,,0,
