restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
MUTHU MESS,Nattukozhi Fry,,200,,,,0,0,Non Veg,12:30PM,04:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Fry,,0,,1,1
MUTHU MESS,NattuKozhi Gravy,,180,,,,0,0,Non Veg,12:30PM,04:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,2,1
MUTHU MESS,Chicken Gravy,,120,,,,0,0,Non Veg,12:30PM,04:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,2,2
MUTHU MESS,Chicken Fry,,140,,,,0,0,Non Veg,12:30PM,04:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Fry,,0,,3,1
MUTHU MESS,Kudal Gravy,,150,,,,0,0,Non Veg,12:30PM,04:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,3,2
MUTHU MESS,Kudal Fry,,170,,,,0,0,Non Veg,06:30PM,10:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Fry,,0,,3,3
MUTHU MESS,Mutton Gravy,,180,,,,0,0,Non Veg,06:30PM,10:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,4,1
MUTHU MESS,Mutton Fry,,200,,,,0,0,Non Veg,06:30PM,10:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Fry,,0,,5,1
MUTHU MESS,Kadai Gravy,,100,,,,0,0,Non Veg,06:30PM,10:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,5,2
MUTHU MESS,Kadai Fry,,120,,,,0,0,Non Veg,06:30PM,10:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Fry,,0,,5,2
MUTHU MESS,Nandu Gravy,,120,,,,0,0,Non Veg,06:30PM,10:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,5,3
MUTHU MESS,Nandu Fry,,120,,,,0,0,Non Veg,06:30PM,10:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Fry,,0,,5,3
MUTHU MESS,ThalaCurry Gravy,,120,,,,0,0,Non Veg,06:30PM,10:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Gravy,,0,,5,4
MUTHU MESS,ThalaCurry Fry,,140,,,,0,0,Non Veg,06:30PM,10:00PM,,,,,06:30PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Fry,,0,,5,4
