restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients
MEAT & EAT,Kiddy Veg - Single Burger,,31,2,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Single Burger,,0,
MEAT & EAT,Kiddy Veg Burger Meal,Kiddly Veg Burger + French Fries + Pet Bottle 250ml,109,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger Meal Combo,,0,
MEAT & EAT,Classic Veg- Single Burger,,73,2,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Single Burger,,0,
MEAT & EAT,Classic Veg Burger Meal,Classic Veg Burger + French Fries + Pet Bottle 250ml,151,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger Meal Combo,,0,
MEAT & EAT,Mac 'N' Cheese- Single Burger,,104,2,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Single Burger,,0,
MEAT & EAT,Mac 'N' Cheese Pasta Burger Meal,Mac 'N' Cheese Burger + French Fries + Pet Bottle 250ml,183,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger Meal Combo,,0,
MEAT & EAT,Paneer Cheese- Single Burger,,151,2,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Single Burger,,0,
MEAT & EAT,Paneer Cheese Burst Burger Meal,Paneer Cheese Burger + with French Fries + Pet Bottle 250ml,199,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Burger Meal Combo,,0,
MEAT & EAT,Veg Super- Single Burger,,141,2,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Single Burger,,0,
MEAT & EAT,Veg Super Twin Burger Meal,Veg Super Twin Burger + French Fries + Pet Bottle 250ml,220,5,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,Twin_Burger_Meal_French_Fries.jpeg,Burger Meal Combo,,1,
