restaurant_name,food_item,description,price,packaging_charge,status,available_from,available_to,item_status,image,main_cat,sub_cat,recommended,ingredients
Meat & Eat,Single Burger,,31,0,Veg,11:00AM,10:30PM,1,,Kiddy Veg ,,0,
Meat & Eat,Burger Meal with French Fries + Pet Bottle 250ml,,109,5,Veg,11:00AM,10:30PM,1,,Kiddy Veg ,,0,
Meat & Eat,Single Burger,,73,0,Veg,11:00AM,10:30PM,1,,Classic Veg,,0,
Meat & Eat,Burger Meal with French Fries + Pet Bottle 250ml,,151,5,Veg,11:00AM,10:30PM,1,,Classic Veg,,0,
Meat & Eat,Single Burger,,104,0,Veg,11:00AM,10:30PM,1,,Mac 'N' Cheese,,0,
Meat & Eat,Pasta Burger Meal French Fries + Pet Bottle 250ml,,183,5,Veg,11:00AM,10:30PM,1,,Mac 'N' Cheese,,0,
Meat & Eat,Single Burger,,151,0,Veg,11:00AM,10:30PM,1,,Paneer Cheese,,0,
Meat & Eat,Burst Burger Meal Potato + Pet Bottle 250ml,,199,5,Veg,11:00AM,10:30PM,1,,Paneer Cheese,,0,
Meat & Eat,Single Burger,,141,0,Veg,11:00AM,10:30PM,1,,Veg Super,,0,
Meat & Eat,Twin Burger Meal French Fries + Pet Bottle 250ml,,220,5,Veg,11:00AM,10:30PM,1,,Veg Super,,0,
Meat & Eat,Single Burger,,52,0,Non Veg,11:00AM,10:30PM,1,,Kiddy Chicken,,0,
Meat & Eat,Burger Meal Chicken Fries + Pet Bottle 250ml,,151,5,Non Veg,11:00AM,10:30PM,1,,Kiddy Chicken,,0,
Meat & Eat,Single Burger,,57,0,Non Veg,11:00AM,10:30PM,1,,Little Dia,,0,
Meat & Eat,Burger Meal Chicken Fries + Pet Bottle 250ml,,157,5,Non Veg,11:00AM,10:30PM,1,,Little Dia,,0,
Meat & Eat,Single Burger,,99,0,Non Veg,11:00AM,10:30PM,1,,Fish,,0,
Meat & Eat,Burger Meal Chicken Fries + Pet Bottle 250ml,,199,5,Non Veg,11:00AM,10:30PM,1,,Fish,,0,
Meat & Eat,Single Burger,,88,0,Non Veg,11:00AM,10:30PM,1,,Classic Chicken,,0,
