restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
MR.CHARLIE,Vannila Falooda,,155,,,,,Veg,09.00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Royal Falooda,,0,,1,1
MR.CHARLIE,Mango Falooda,,170,,,,,Veg,09.00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Royal Falooda,,0,,2,1
MR.CHARLIE,Strawberry Falooda,,170,,,,,Veg,09.00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Royal Falooda,,0,,3,1
MR.CHARLIE,Chocolate Falooda,,185,,,,,Veg,09.00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Royal Falooda,,0,,4,1
MR.CHARLIE,Coffee Falooda,,185,,,,,Veg,09.00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Royal Falooda,,0,,5,1
MR.CHARLIE,Butter Scotch Falooda,,185,,,,,Veg,09.00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Royal Falooda,,0,,6,1
MR.CHARLIE,Black Current Falooda,,185,,,,,Veg,09.00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Royal Falooda,,0,,7,1
MR.CHARLIE,Kulfi Falooda,,185,,,,,Veg,09.00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Royal Falooda,,0,,8,1
MR.CHARLIE,Fozen Coconut Falooda,,185,,,,,Veg,09.00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Royal Falooda,,0,,9,1
MR.CHARLIE,Rose N Coconut Falooda,,185,,,,,Veg,09.00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Royal Falooda,,0,,7,1
MR.CHARLIE,Vanilla Milk Shake,,90,,,,,Veg,09.00AM,09:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Milk Shakes,,0,,8,1
