restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
NAMMA OORU HOTEL,Tomato Soup,,90,,,,10,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
NAMMA OORU HOTEL,Hot & Sour Soup,,100,,,,10,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
NAMMA OORU HOTEL,Mushroom Soup,,110,,,,10,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
NAMMA OORU HOTEL,Veg Manchow Soup,,100,,,,10,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
NAMMA OORU HOTEL,Veg Clear Soup,,90,,,,10,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
NAMMA OORU HOTEL,Sweet Corn Veg Soup,,100,,,,10,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,6
NAMMA OORU HOTEL,Lung Fung Veg Soup,,100,,,,10,0,Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,7
NAMMA OORU HOTEL,Chicken Pepper Soup,,110,,,,10,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,8
NAMMA OORU HOTEL,Hot & Sour Chicken Soup,,110,,,,10,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,9
NAMMA OORU HOTEL,Sweet Corn Chicken Soup,,110,,,,10,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,10
NAMMA OORU HOTEL,Chicken Clear Soup,,100,,,,10,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,11
NAMMA OORU HOTEL,Nandu Pepper Soup,,110,,,,10,0,Non Veg,11:00AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,12
