restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
NAMMA OORU VAATHU KADAI,Paneer 65,,88,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,1
NAMMA OORU VAATHU KADAI,Paneer Manchurian,,122,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,2
NAMMA OORU VAATHU KADAI,Mushroom 65,,82,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,3
NAMMA OORU VAATHU KADAI,Mushroom Manchurian,,94,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,4
NAMMA OORU VAATHU KADAI,Gobi 65,,70,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,5
NAMMA OORU VAATHU KADAI,Gobi Manchurian,,94,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,6
NAMMA OORU VAATHU KADAI,Chilli Parotta,,82,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,7
NAMMA OORU VAATHU KADAI,Chicken 65,,59,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,1
NAMMA OORU VAATHU KADAI,Chicken 65 Boneless,,117,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,2
NAMMA OORU VAATHU KADAI,Chicken Manchurian,,140,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,3
NAMMA OORU VAATHU KADAI,Pepper Chicken Dry,,140,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,4
NAMMA OORU VAATHU KADAI,Hot Pepper Chicken,,140,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,5
NAMMA OORU VAATHU KADAI,Chilli Chicken Dry,,140,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,6
NAMMA OORU VAATHU KADAI,Chicken Oil Leg,,58,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,7
NAMMA OORU VAATHU KADAI,Chicken Lollipop 2 Pcs,,70,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,8
NAMMA OORU VAATHU KADAI,Chilli Chicken Parotta,,117,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,9
NAMMA OORU VAATHU KADAI,Chicken Uppucurry,,117,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,10
NAMMA OORU VAATHU KADAI,Chicken Pallipalayam,,117,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,11
NAMMA OORU VAATHU KADAI,Chettinadu Chicken,,117,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,12
NAMMA OORU VAATHU KADAI,Vathu Gravi 250 Grams,,176,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vathu Gravy,,0,,3,1
NAMMA OORU VAATHU KADAI,Vathu Gravy 500 Grams,,351,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vathu Gravy,,0,,3,2
NAMMA OORU VAATHU KADAI,Vathu Gravy 750 Grams,,527,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vathu Gravy,,0,,3,3
NAMMA OORU VAATHU KADAI,Vathu Gravy 1 Kg,,666,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Vathu Gravy,,0,,3,4
NAMMA OORU VAATHU KADAI,Chicken Biriyani,,82,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,4,1
NAMMA OORU VAATHU KADAI,Chicken Biriyani Plain,,58,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,4,2
NAMMA OORU VAATHU KADAI,Chicken Chilly Biriyani,,82,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,4,3
NAMMA OORU VAATHU KADAI,Biriyani with Chilly,,140,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Biriyani,,0,,4,4
NAMMA OORU VAATHU KADAI,Chicken Fried Rice,,93,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,1
NAMMA OORU VAATHU KADAI,Egg Fried Rice,,82,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,2
NAMMA OORU VAATHU KADAI,Veg Fried Rice,,70,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,3
NAMMA OORU VAATHU KADAI,Paneer Fried Rice,,93,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,4
NAMMA OORU VAATHU KADAI,Mushroom Fried Rice,,82,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,5
NAMMA OORU VAATHU KADAI,Veg Mixed Fried Rice,,105,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,6
NAMMA OORU VAATHU KADAI,Schezwan Veg Fried Rice,,82,,,,,veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,7
NAMMA OORU VAATHU KADAI,Schezwan Egg Fried Rice,,94,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,8
NAMMA OORU VAATHU KADAI,Schezwan Chicken Fried Rice,,105,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,9
NAMMA OORU VAATHU KADAI,Chicken Noodles,,93,,,,,Non Veg,1:30PM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Rice & Noodles,,0,,5,10
