restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
NAMMA CAFE,Tea 250 Ml,Serving 3 Persons Approx,76,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,1
NAMMA CAFE,Ginger Tea 250 Ml,Serving 3 Persons Approx,94,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,2
NAMMA CAFE,Filter Coffee 250 Ml,Serving 3 Persons Approx,94,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,3
NAMMA CAFE,Karupatti Kappi 250 Ml,Serving 3 Persons Approx,105,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,4
NAMMA CAFE,Lemon Tea 250 Ml,Serving 3 Persons Approx,70,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,5
NAMMA CAFE,Sulaiman 250 Ml,Serving 3 Persons Approx,70,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,5
NAMMA CAFE,Tea 500 Ml,Serving 6 Persons Approx,140,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,6
NAMMA CAFE,Ginger Tea 500 Ml,Serving 6 Persons Approx,163,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,7
NAMMA CAFE,Filter Coffee 500 Ml,Serving 6 Persons Approx,163,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,8
NAMMA CAFE,Karupatti Kappi 500 Ml,Serving 6 Persons Approx,187,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,9
NAMMA CAFE,Lemon Tea 500 Ml,Serving 6 Persons Approx,140,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,10
NAMMA CAFE,Sulaiman 500 Ml,Serving 3 Persons Approx,140,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Hot Drinks,,0,,1,5
NAMMA CAFE,Rose Milk,,58,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soft Drinks,,0,,2,1
NAMMA CAFE,Badam Milk,,70,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soft Drinks,,0,,2,2
NAMMA CAFE,Cold Coffee,,82,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soft Drinks,,0,,2,3
NAMMA CAFE,Elaneer Milkshake,Must Try,82,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soft Drinks,,0,,2,3
NAMMA CAFE,Veg Sandwich,,47,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,1
NAMMA CAFE,Grill Veg Sandwich,,58,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,2
NAMMA CAFE,Chilli Cheese Sandwih,,58,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,3
NAMMA CAFE,Onion Capsicum Sandwich,,70,,,,0,0,veg,10:30AM,09:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Sandwich,,0,,3,4
