restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
HOTEL NTS PALACE,Mushroom Pepper Fry,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,1
HOTEL NTS PALACE,Mushroom 65,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,1,1
HOTEL NTS PALACE,Panner 65,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,2,1
HOTEL NTS PALACE,Gobi 65,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,3,1
HOTEL NTS PALACE,BabyCorn Salt and Pepper,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,4,1
HOTEL NTS PALACE,Panner Tikka,,189,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,5,1
HOTEL NTS PALACE,Mushroom Manchurian,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,6,1
HOTEL NTS PALACE,Gobi Manchuriyan,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,7,1
HOTEL NTS PALACE,Panner Manchuriyan,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Starters,,0,,8,1
HOTEL NTS PALACE,Banjara Kabab,,240,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,1,2
HOTEL NTS PALACE,Reshmi Kabab,,240,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,2,2
HOTEL NTS PALACE,Chicken Tikka,,240,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,3,2
HOTEL NTS PALACE,Tandoori Chicken Half,,273,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,4,2
HOTEL NTS PALACE,Tandoori Chicken Full,,550,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,4,2
HOTEL NTS PALACE,Uppu Chicken,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,1,3
HOTEL NTS PALACE,Chicken Sivakasi,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,2,3
HOTEL NTS PALACE,Chicken PalliPalayam,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,3,3
HOTEL NTS PALACE,GC Murgh Kabab,,240,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,4,3
HOTEL NTS PALACE,Mutton Keema Urundai,,278,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,5,3
HOTEL NTS PALACE,Mutton Pepper Fry,,278,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,6,3
HOTEL NTS PALACE,Karur Mutton Sukka,,278,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,8,3
HOTEL NTS PALACE,Fish Tikka,,265,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,9,3
HOTEL NTS PALACE,Ajwani Fish Tikka,,265,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,10,3
HOTEL NTS PALACE,Tawa Fried Fish,,240,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,11,3
HOTEL NTS PALACE,Meen 65,,215,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,12,3
HOTEL NTS PALACE,Prawn 65,,265,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,12,3
HOTEL NTS PALACE,Prawn Pepper Fry,,265,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,13,3
HOTEL NTS PALACE,Prawn Coconut Fry,,265,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,14,3
HOTEL NTS PALACE,Prawn Ularthiyathu,,265,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Tandoori Starters Non Veg,,0,,15,3
HOTEL NTS PALACE,Chilli Egg,,139,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,16,3
HOTEL NTS PALACE,GC Kozhi Varauval,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,17,3
HOTEL NTS PALACE,Chicken 65,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,18,3
HOTEL NTS PALACE,Chicken Pepper Fry,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,1,4
HOTEL NTS PALACE,Andra Chilli Chicken,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,2,4
HOTEL NTS PALACE,Chicken Lollipop,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,3,4
HOTEL NTS PALACE,Dragon Chicken,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,4,4
HOTEL NTS PALACE,Schuzen Chicken,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,5,4
HOTEL NTS PALACE,Chilli Chicken,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,6,4
HOTEL NTS PALACE,Chicken Manchurian,,202,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,7,4
HOTEL NTS PALACE,Chilli Lamb Dry,,278,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,8,4
HOTEL NTS PALACE,Chilli Prawns,,265,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,9,4
HOTEL NTS PALACE,Singapore Chili Prawns,,265,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,10,4
HOTEL NTS PALACE,Fish Manchurian ,,240,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,11,4
HOTEL NTS PALACE,Chilli Fish,,240,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Starters,,0,,12,4
HOTEL NTS PALACE,Mixed Veg Curry,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Currys,,0,,13,4
HOTEL NTS PALACE,Green Peas Masala,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Currys,,0,,14,4
HOTEL NTS PALACE,Mushroom Masala,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Currys,,0,,15,4
HOTEL NTS PALACE,Veg Chettinadu,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Currys,,0,,16,4
HOTEL NTS PALACE,Gobi Masala,,164,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Currys,,0,,17,4
HOTEL NTS PALACE,kadai Panner,,189,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Currys,,0,,18,4
HOTEL NTS PALACE,Panner Butter Masala,,189,,,,0,0,Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Veg Currys,,0,,19,4
HOTEL NTS PALACE,Nattu Kozhi Chettinadu,,265,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Currys,,0,,20,4
HOTEL NTS PALACE,Chicken Chettinadu,,210,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Currys,,0,,21,4
HOTEL NTS PALACE,Chicken PalliPalayam Gravy,,210,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Currys,,0,,22,4
HOTEL NTS PALACE,Chicken Varutha Curry,,210,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Currys,,0,,23,4
HOTEL NTS PALACE,Butter Chicken Masala,,220,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Currys,,0,,24,4
HOTEL NTS PALACE,Kadai Chicken,,220,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Currys,,0,,26,4
HOTEL NTS PALACE,Chicken Hyderbadi,,220,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Currys,,0,,1,5
HOTEL NTS PALACE,Chicken Tikka Masala,,220,,,,0,0,Non Veg,12:30PM,03:15PM,,,,,07:00PM,10:00PM,"1,2,3,4,5,6,7",1,,Non Veg Currys,,0,,2,5
