restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
NALLAMAL GRAMIYA VIRUNTHU,Aatukal Soup,,60,,,,,Non veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,2,8
NALLAMAL GRAMIYA VIRUNTHU,Nattukozhi Soup,,60,,,,,Non veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,2,9
NALLAMAL GRAMIYA VIRUNTHU,Crab Soup,,60,,,,,Non veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,2,10
NALLAMAL GRAMIYA VIRUNTHU,Milagudhaniya Soup,,50,,,,,Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,2,7
NALLAMAL GRAMIYA VIRUNTHU,Tomato Soup,,50,,,,,Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Soup,,0,,2,7
NALLAMAL GRAMIYA VIRUNTHU,NGV Special,,235,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters,,0,,3,1
NALLAMAL GRAMIYA VIRUNTHU,Nattukozhi Gravy,,235,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters,,0,,3,2
NALLAMAL GRAMIYA VIRUNTHU,Nattukozhi Chettinadu,,235,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters,,0,,3,3
NALLAMAL GRAMIYA VIRUNTHU,Nattukozhi Sukka,,245,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters,,0,,3,4
NALLAMAL GRAMIYA VIRUNTHU,Nattukozhi Pallipalayam,,245,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters,,0,,3,5
NALLAMAL GRAMIYA VIRUNTHU,Nattukozhi Chinthamani,,245,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters,,0,,3,6
NALLAMAL GRAMIYA VIRUNTHU,Nattukozhi Chops Semi Gravy ,,265,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters,,0,,3,7
NALLAMAL GRAMIYA VIRUNTHU,Nattukozhi Pepper Fry,,245,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Nattukozhi Starters,,0,,3,8
NALLAMAL GRAMIYA VIRUNTHU,Mutton Chukka,,245,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,3,9
NALLAMAL GRAMIYA VIRUNTHU,Mutton Masala,,245,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,3,10
NALLAMAL GRAMIYA VIRUNTHU,Mutton Chettinadu,,245,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,3,11
NALLAMAL GRAMIYA VIRUNTHU,Mutton Pallipalayam,,245,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,3,12
NALLAMAL GRAMIYA VIRUNTHU,Nalli Fry,,250,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,3,13
NALLAMAL GRAMIYA VIRUNTHU,Nalli Chops Semi Gravy ,,250,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,4,1
NALLAMAL GRAMIYA VIRUNTHU,Kudal Kulambu ,,165,,,,,Non Veg,05:30PM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,2,8
NALLAMAL GRAMIYA VIRUNTHU,Brain Fry,,160,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,2,9
NALLAMAL GRAMIYA VIRUNTHU,Brain Egg Fry,,170,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,2,10
NALLAMAL GRAMIYA VIRUNTHU,Liver,,240,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,3,1
NALLAMAL GRAMIYA VIRUNTHU,Liver Pepper Fry,,240,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,3,2
NALLAMAL GRAMIYA VIRUNTHU,Liver Egg Fry,,245,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,3,3
NALLAMAL GRAMIYA VIRUNTHU,Kudal Fry,,170,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,3,4
NALLAMAL GRAMIYA VIRUNTHU,Kudal Egg Fry,,180,,,,,Non Veg,11:30AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Mutton Items,,0,,3,5
