restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
NANDHINI RESTAURANT,Sweet Corn Veg Soup,,78.75,,,,5,Veg,,,,,11.30 AM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
NANDHINI RESTAURANT,Veg Clear Soup,,78.75,,,,5,Veg,,,,,11.30 AM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
NANDHINI RESTAURANT,Tomato Soup,,78.75,,,,5,Veg,,,,,11.30 AM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
NANDHINI RESTAURANT,Veg Chettinad Soup ,,78.75,,,,5,Veg,,,,,11.30 AM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
NANDHINI RESTAURANT,Hot & Sour Veg Soup,,78.75,,,,5,Veg,,,,,11.30 AM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
NANDHINI RESTAURANT,Veg Lemon Coriander Soup,,78.75,,,,5,Veg,,,,,11.30 AM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,6
NANDHINI RESTAURANT,Mushroom Clear Soup,,78.75,,,,5,Veg,,,,,11.30 AM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,7
NANDHINI RESTAURANT,Veg Noodle Soup ,,78.75,,,,5,Veg,,,,,11.30 AM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,8
NANDHINI RESTAURANT,Veg Lung Fung Soup,,89.25,,,,5,Veg,,,,,11.30 AM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,9
NANDHINI RESTAURANT,Veg Wonton Soup ,,89.25,,,,5,Veg,,,,,11.30 AM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,10
NANDHINI RESTAURANT,Veg Manchow Soup,,89.25,,,,5,Veg,,,,,11.30 AM,3:30PM,6:00PM,10:30PM,"1,2,3,4,5,6,7",1,,Soups,,0,,1,11
