restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ONLY PARCEL,Crab Soup,,20,,,,10,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,1
ONLY PARCEL,Veg Soup,,20,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,2
ONLY PARCEL,Nattu Kozhi Soup,,25,,,,10,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,3
ONLY PARCEL,Sweet Corn Veg Soup,,40,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,4
ONLY PARCEL,Sweet Corn Chicken Soup,,40,,,,10,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,5
ONLY PARCEL,Sweet Corn Egg Soup,,40,,,,10,0,Non Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Soups,,0,,1,6
ONLY PARCEL,Paneer 65,,60,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,1
ONLY PARCEL,Mushroom 65,,60,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,2
ONLY PARCEL,Gobi 65,,30,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,3
ONLY PARCEL,Baby Corn 65,,30,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,4
ONLY PARCEL,Paneer Manchurian,,75,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,5
ONLY PARCEL,Gobi Manchurian,,75,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,6
ONLY PARCEL,Mushroom Manchurian,,75,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,7
ONLY PARCEL,Babycorn Manchurian,,75,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,8
ONLY PARCEL,Panner Pepper Fry,,75,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,9
ONLY PARCEL,Gobi Pepper Fry,,75,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,10
ONLY PARCEL,Mushroom Pepper Fry,,75,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,11
ONLY PARCEL,Babycorn Pepper Fry,,75,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Dry Specials,,0,,2,12
ONLY PARCEL,Paneer Butter Masala,,80,,,,10,0,Veg,11:30AM,10:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Veg Gravys,,0,,3,1
