restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
"OH, CHEAT DAY!",Maple Butter,"Pancake Syrup, Cream ",139,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dutch Mini Pancakes,,0,,1,1
"OH, CHEAT DAY!",Caramelicious,"Homemade Sea Salt Caramel, Banana ",149,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dutch Mini Pancakes,,0,,1,2
"OH, CHEAT DAY!",Oreo Oreo,"Dark Chocolate ,White Chocolate, Chocochips, Oreo Chunks ",159,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dutch Mini Pancakes,,0,,1,3
"OH, CHEAT DAY!",Choco Peanut Butter,"Peanut Butter, Dark Chocolate Sauce& Cherry Compote",169,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dutch Mini Pancakes,,0,,1,4
"OH, CHEAT DAY!",Banoffee Toffee,"Caramel, Banana, Dark And Milk Chocolate Sauce & Cream ",179,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dutch Mini Pancakes,,0,,1,5
"OH, CHEAT DAY!",Nuts Over Nutella,"Nutella, Cream ",189,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dutch Mini Pancakes,,0,,1,6
"OH, CHEAT DAY!",Go Coconuts!,Coconut Ganache With Vanilla Ice Cream ,189,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dutch Mini Pancakes,,0,,1,7
"OH, CHEAT DAY!",Kids Special,"Dark And Milk Choco Ganache, Gems, White Choco Ganache, Ice Cream & Cream ",209,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dutch Mini Pancakes,,0,,1,8
"OH, CHEAT DAY!",Berry Love Strawberry,Strawberry  Compote With Cream Cheese,179,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dutch Mini Pancakes,,0,,1,9
"OH, CHEAT DAY!",Berry Love Blueberry,Blueberry Compote With Cream Cheese ,179,,,,10,0,Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Dutch Mini Pancakes,,0,,1,10
