restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ONN WHEELS - CMC,Chicken Pop Corn (10Pc),,100,,,,0,0,Non Veg,12:00:01AM,11:59:59PM,,,,,,,"1,2,3,4,5,6,7",1,,Fries,,0,,2,1
ONN WHEELS - CMC,French Fries,,70,,,,0,0,Veg,12:00:01AM,11:59:59PM,,,,,,,"1,2,3,4,5,6,7",1,,Fries,,0,,2,2
ONN WHEELS - CMC,Pizza Fries,,100,,,,0,0,Veg,12:00:01AM,11:59:59PM,,,,,,,"1,2,3,4,5,6,7",1,,Fries,,0,,2,3
ONN WHEELS - CMC,Pav Bhaji,,70,,,,0,0,Veg,12:00:01AM,11:59:59PM,,,,,,,"1,2,3,4,5,6,7",1,,Fries,,0,,2,4
ONN WHEELS - CMC,Veg Burger,,70,,,,0,0,Veg,12:00:01AM,11:59:59PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,1
ONN WHEELS - CMC,Tandoor Paneer Veg Burger,,70,,,,0,0,Veg,12:00:01AM,11:59:59PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,2
ONN WHEELS - CMC,Masala Fries Veg Burger,,70,,,,0,0,Veg,12:00:01AM,11:59:59PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,3
ONN WHEELS - CMC,Pav Baji Veg Burger,,70,,,,0,0,Veg,12:00:01AM,11:59:59PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,4
ONN WHEELS - CMC,Kurkure Veg Burger,,70,,,,0,0,Veg,12:00:01AM,11:59:59PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,5
ONN WHEELS - CMC,Nachos Veg Burger,,70,,,,0,0,Veg,12:00:01AM,11:59:59PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,6
ONN WHEELS - CMC,Chicken Burger,,70,,,,0,0,Non Veg,12:00:01AM,11:59:59PM,,,,,,,"1,2,3,4,5,6,7",1,,Burgers,,0,,1,7
