restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
ORANGE JIGARTHANDA,Normal Jigarthanda,,60,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Jigarthandas,,1,,1,1
ORANGE JIGARTHANDA,Vanilla Jigarthanda,,70,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Jigarthandas,,0,,1,2
ORANGE JIGARTHANDA,Chocolate Jigarthanda,,70,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Jigarthandas,,0,,1,3
ORANGE JIGARTHANDA,Butter Scotch Jigarthanda,,70,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Jigarthandas,,0,,1,4
ORANGE JIGARTHANDA,Straberry Jigarthanda,,70,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Jigarthandas,,0,,1,5
ORANGE JIGARTHANDA,Mixed Flavours Jigarthanda,"Vanilla, Chocolate, Butter Scotch, Straberry",80,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Jigarthandas,,0,,1,6
ORANGE JIGARTHANDA,French Fries Small,,60,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,2,1
ORANGE JIGARTHANDA,Smileys Small,,60,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,1,,2,2
ORANGE JIGARTHANDA,Veg Nuggets Small,,60,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,2,3
ORANGE JIGARTHANDA,French Fries Large,,100,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,1,,2,4
ORANGE JIGARTHANDA,Smiles Large,,100,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,0,,2,5
ORANGE JIGARTHANDA,Veg Nuggets Large,,100,,,,0,Veg,11:00AM,08:30PM,,,,,,,"1,2,3,4,5,6,7",1,,Chat Items,,1,,2,6
