restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
THE PIZZA HUB,Veg Burger Combo,,299,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo TPH,,0,,1,1
THE PIZZA HUB,Meal for 1 Combo Veg,,481,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo TPH,,0,,1,2
THE PIZZA HUB,Meal for 2 Combo Veg,,1014,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo TPH,,0,,1,3
THE PIZZA HUB,Family Combo Veg,,1690,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo TPH,,0,,1,4
THE PIZZA HUB,Chicken Burger Combo,,338,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo TPH,,0,,1,5
THE PIZZA HUB,Meal for 1 Non Veg Combo,,507,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo TPH,,0,,1,6
THE PIZZA HUB,Meal for 2 Combo Non Veg,,1027,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo TPH,,0,,1,7
THE PIZZA HUB,Family Combo Non Veg,,1768,,,,0,0,Non Veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combo TPH,,0,,1,8
THE PIZZA HUB,Margherita Pizza (R),,129,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,1
THE PIZZA HUB,Double Cheese Pizza (R),,234,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,2
THE PIZZA HUB,Cheese & Onion Pizza (R),,234,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,3
THE PIZZA HUB,Cheese & Corn Pizza (R),,234,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,4
THE PIZZA HUB,Cheese & Tomato Pizza (R),,234,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,5
THE PIZZA HUB,Farm House Pizza (R),,325,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,6
THE PIZZA HUB,Paneer Mania Pizza (R),,325,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,7
THE PIZZA HUB,Veggie World Pizza (R),,325,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,8
THE PIZZA HUB,Spicy Veggie Blast Pizza (R),,325,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,9
THE PIZZA HUB,Schezwan Veggie Pizza (R),,325,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,10
THE PIZZA HUB,Margherita Pizza (M),,221,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,11
THE PIZZA HUB,Double Cheese Pizza (M),,325,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,12
THE PIZZA HUB,Cheese & Onion Pizza (M),,325,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,13
THE PIZZA HUB,Cheese & Corn Pizza (M),,325,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,14
THE PIZZA HUB,Cheese & Tomato Pizza (M),,325,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,15
THE PIZZA HUB,Farm House Pizza (M),,416,,,,0,0,veg,11:00AM,11:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Pizza Veg,,0,,2,16
