restaurant_name,food_item,description,price,special_price,special_from,special_to,packaging_charge,max_packaging_charge,status,available_from,available_to,breakfast_available_from,breakfast_available_to,lunch_available_from,lunch_available_to,dinner_available_from,dinner_available_to,available_days,item_status,image,main_cat,sub_cat,recommended,ingredients,cat_order,product_order
PIZZA KRUSH (Gandhi Gramam),Veg Pizza Combo,Spl Veg Pizza Medium + Veg Nuggets 4 Pcs + French Fries + Vennila Milkshake,520,390,27-03-2022,20-05-2022,0,0,veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combos,,0,,1,1
PIZZA KRUSH (Gandhi Gramam),Veg Burger Combo,Veg Burger + Veg Nuggets 4 Pcs + French Fries + Vennila Milkshake / Butter Scotch Milkshake,370,277.5,27-03-2022,20-05-2022,0,0,veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combos,,0,,1,2
PIZZA KRUSH (Gandhi Gramam),Grilled Veg Sandwich,Grilled Veg Sandwich + Veg Nuggets 4 Pcs + French Fries + Vennila Milkshake,330,247.5,27-03-2022,20-05-2022,0,0,veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combos,,0,,1,3
PIZZA KRUSH (Gandhi Gramam),Non Veg Pizza Combo,Grilled Chicken Pizza Medium + KFC Chicken 1 Pc + French Fries + Vennila Milkshake ,570,427.5,27-03-2022,20-05-2022,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combos,,0,,1,4
PIZZA KRUSH (Gandhi Gramam),Chicken Burger Combo,Chicken Burger + KFC Chicken 1 Pc + French Fries + Vennila Milkshake,400,300,27-03-2022,20-05-2022,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combos,,0,,1,5
PIZZA KRUSH (Gandhi Gramam),Fried Chicken Burger,Fried Chicken Burger + KFC Chicken 1 Pc + French Fries + Vennila Milkshake,400,300,27-03-2022,20-05-2022,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combos,,0,,1,6
PIZZA KRUSH (Gandhi Gramam),Grilled Chicken Sandwich,Grilled Chicken Sandwich + KFC Chicken 1 Pc + French Fries + Vennila Milkshake,370,277.5,27-03-2022,20-05-2022,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Combos,,0,,1,7
PIZZA KRUSH (Gandhi Gramam),Grilled Chicken Pizza (10 Inch),"Cheese, Grilled Chicken, Onion, Capsicum, Corn, Chilly",400,300,27-03-2022,20-05-2022,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Pizzas,,0,,2,1
PIZZA KRUSH (Gandhi Gramam),Fried Chicken Pizza (10 Inch),"Cheese, Fried Chicken, Onion, Capsicum, Corn",400,300,27-03-2022,20-05-2022,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Pizzas,,0,,2,2
PIZZA KRUSH (Gandhi Gramam),Chicken Tikka Pizza (10 Inch),"Cheese, Chicken Tikka, Onion, Capsicum, Chilly, Tomato",400,300,27-03-2022,20-05-2022,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Pizzas,,0,,2,3
PIZZA KRUSH (Gandhi Gramam),Spicy Chicken Pizza (10 Inch),"Cheese, Spicy Chicken, Onion, Capsicum, Chilly",400,300,27-03-2022,20-05-2022,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Pizzas,,0,,2,4
PIZZA KRUSH (Gandhi Gramam),Egg & Chicken Pizza (10 Inch),"Cheese, Grilled Chicken, Egg, Onion, Capsicum, Chilly",400,300,27-03-2022,20-05-2022,0,0,Non Veg,11:00AM,10:00PM,,,,,,,"1,2,3,4,5,6,7",1,,Chicken Pizzas,,0,,2,5
